id,text_clean,text_emojis_mapped,text_lemma,n_tokens
15,and jones does everything he can to avoid it  including retiring himself 😅😅😂😂😂😂,and jones does everything he can to avoid it  including retiring himself emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,and jones do everything he can to avoid it include retire himself emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,13
16,tell some idiots who compare ciryl can fight with francis ngannou  tell them to compare jone jones fight with stipe now  francis finished him in seconds round why stipe was not old as now  shame to jone jones and his fans  francis ngannou vs ciryl cane   francis ngannou was even sick  he had an operation on he s knee  francis ngannou will kill jone jones,tell some idiots who compare ciryl can fight with francis ngannou  tell them to compare jone jones fight with stipe now  francis finished him in seconds round why stipe was not old as now  shame to jone jones and his fans  francis ngannou vs ciryl cane   francis ngannou was even sick  he had an operation on he s knee  francis ngannou will kill jone jones,tell some idiot who compare ciryl can fight with francis ngannou tell they to compare jone jones fight with stipe now francis finish he in second round why stipe be not old as now shame to jone jones and his fan francis ngannou vs ciryl cane francis ngannou be even sick he have an operation on he s knee francis ngannou will kill jone jones,65
17,jon never beat chael wtf is this fake news,jon never beat chael wtf is this fake news,jon never beat chael wtf be this fake news,9
18,this is why people love paddy,this is why people love paddy,this be why people love paddy,6
19,it s a fight let them knee  jon jones the best ever,it s a fight let them knee  jon jones the best ever,it s a fight let they knee jon jones the good ever,12
20,"your dad and sister hate you
your daughters want to change expensiv e","your dad and sister hate you
your daughters want to change expensiv e",your dad and sister hate you your daughter want to change expensiv e,13
21,no chance on beating fury or wilder,no chance on beating fury or wilder,no chance on beat fury or wilder,7
22,ok so did he call it,ok so did he call it,ok so do he call it,6
23,чемпион  чемпионов  легенда,чемпион  чемпионов  легенда,чемпион чемпионов легенда,3
24,i hope it s all hype to make the fight bigger and that he does end up fighting tom  i m not sure thou,i hope it s all hype to make the fight bigger and that he does end up fighting tom  i m not sure thou,I hope it s all hype to make the fight big and that he do end up fight tom I m not sure thou,24
25,that look on jon s face when they robbed him in the mat hamil fight was a look we never saw again   jones loose   jones ain t no looser,that look on jon s face when they robbed him in the mat hamil fight was a look we never saw again   jones loose   jones ain t no looser,that look on jon s face when they rob he in the mat hamil fight be a look we never see again jones loose jones ain t no looser,29
26,real champ 💪🏻,real champ emoji_flexed_bicepsemoji_emoji_modifier_fitzpatrick_type_1_2,real champ emoji_flexed_bicepsemoji_emoji_modifier_fitzpatrick_type_1_2,3
27,the ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer all yellow 😅,the ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer all yellow emoji_smiling_face_with_open_mouth_and_cold_sweat,the ufc should strip he of the belt or we all should start watch cage warrior and u no that song by cold play they wer all yellow emoji_smiling_face_with_open_mouth_and_cold_sweat,29
28,and look at him now  a proper 🦆,and look at him now  a proper emoji_duck,and look at he now a proper emoji_duck,8
29,"wow   uploaded by the ufc  
thank you","wow   uploaded by the ufc  
thank you",wow upload by the ufc thank you,7
30,легенда,легенда,легенда,1
31,if reyes hadn t lost that fight he would have been a bonafide star of ufc,if reyes hadn t lost that fight he would have been a bonafide star of ufc,if reyes hadn t lose that fight he would have be a bonafide star of ufc,16
32,he put his hands above mine  time to only use my fingers and poke his eyes out  the dirty bastard would get whooped if they gloved the rest of the fingers,he put his hands above mine  time to only use my fingers and poke his eyes out  the dirty bastard would get whooped if they gloved the rest of the fingers,he put his hand above mine time to only use my finger and poke his eye out the dirty bastard would get whoop if they glove the rest of the finger,31
33,yeah  that s intimidating  but i would ve said  that s kinda gay,yeah  that s intimidating  but i would ve said  that s kinda gay,yeah that s intimidate but I would ve say that s kinda gay,13
34,aspinall will not win agains jones  trust me,aspinall will not win agains jones  trust me,aspinall will not win agains jones trust I,8
35,bless him,bless him,bless he,2
36,goat 🐐 of mma,goat emoji_goat of mma,goat emoji_goat of mma,4
37,honestly i totally get his perspective  i don t think he is making that decision based on losing his  heavy weight  title  he s already said he would rather vacate the title and move back down to his normal weight class,honestly i totally get his perspective  i don t think he is making that decision based on losing his  heavy weight  title  he s already said he would rather vacate the title and move back down to his normal weight class,honestly I totally get his perspective I don t think he be make that decision base on lose his heavy weight title he s already say he would rather vacate the title and move back down to his normal weight class,41
38,"dana  we ll make an exception for you jones  you can juice up without no one knowing  deal 
jones  pictogram  pinch of salt  owwww yeaah","dana  we ll make an exception for you jones  you can juice up without no one knowing  deal 
jones  pictogram  pinch of salt  owwww yeaah",dana we ll make an exception for you jones you can juice up without no one know deal jones pictogram pinch of salt owwww yeaah,25
39,prochazka is coming,prochazka is coming,prochazka be come,3
40,quackquackquack 🦆,quackquackquack emoji_duck,quackquackquack emoji_duck,2
41,clean  i thought his whole issue is he can t stay clean  😂,clean  i thought his whole issue is he can t stay clean  emoji_face_with_tears_of_joy,clean I think his whole issue be he can t stay clean emoji_face_with_tears_of_joy,13
42,he has 0 chance against fury   wilder they will both put him to sleep,he has 0 chance against fury   wilder they will both put him to sleep,he have 0 chance against fury wilder they will both put he to sleep,14
43,"this guys motivation sucks   you got this  cmon you got this  breathe  you got this 

literally the worst coach cornerman i ve seen in a long time","this guys motivation sucks   you got this  cmon you got this  breathe  you got this 

literally the worst coach cornerman i ve seen in a long time",this guy motivation suck you get this cmon you get this breathe you get this literally the bad coach cornerman I ve see in a long time,27
44,легендарный последний император,легендарный последний император,легендарный последний император,3
45,all the shit talking about jon  first achieve what jon did  no  only jon and khabib made history with no loss,all the shit talking about jon  first achieve what jon did  no  only jon and khabib made history with no loss,all the shit talk about jon first achieve what jon do no only jon and khabib make history with no loss,21
46,if that sound was real  thats crazy  probably broke his cheek or orbital  it probably cost him the fight,if that sound was real  thats crazy  probably broke his cheek or orbital  it probably cost him the fight,if that sound be real that s crazy probably break his cheek or orbital it probably cost he the fight,20
47,a blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft  i ll never pay  80 to see trump and his clown posse shown between every fight 😂,a blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft  i ll never pay  80 to see trump and his clown posse shown between every fight emoji_face_with_tears_of_joy,a blind mind can see the promotion slip into political madness cater to one group of people while real fight fan get the shaft I ll never pay 80 to see trump and his clown posse show between every fight emoji_face_with_tears_of_joy,41
48,honestly prizepicks been easy af cash ngl,honestly prizepicks been easy af cash ngl,honestly prizepick be easy af cash ngl,7
49,why are we translating english to english,why are we translating english to english,why be we translate english to english,7
50,wtactuallyf,wtactuallyf,wtactuallyf,1
51,lucky the other guy isn t the same kind of asshole he is  that teabag would have ended up around his ears  he d of had new earrings that looked like walnuts  lol 😂,lucky the other guy isn t the same kind of asshole he is  that teabag would have ended up around his ears  he d of had new earrings that looked like walnuts  lol emoji_face_with_tears_of_joy,lucky the other guy isn t the same kind of asshole he be that teabag would have end up around his ear he d of have new earring that look like walnut lol emoji_face_with_tears_of_joy,34
52,jon is looking to rematch his wife at the hotel  last time they went to decision and the cops ruled it a no contest,jon is looking to rematch his wife at the hotel  last time they went to decision and the cops ruled it a no contest,jon be look to rematch his wife at the hotel last time they go to decision and the cop rule it a no contest,24
53,ank will beat tom  watch,ank will beat tom  watch,ank will beat tom watch,5
54,great idea in the first place to bring nate to dagestan 🎉😂,great idea in the first place to bring nate to dagestan emoji_party_popperemoji_face_with_tears_of_joy,great idea in the first place to bring nate to dagestan emoji_party_popperemoji_face_with_tears_of_joy,12
55,😂😂😂 greatest cheat you mean   khabib is the greatest,emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy greatest cheat you mean   khabib is the greatest,emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy great cheat you mean khabib be the great,9
56,jon was absolutely thinking bad thoughts on that 3rd interruption,jon was absolutely thinking bad thoughts on that 3rd interruption,jon be absolutely think bad thought on that 3rd interruption,10
57,nick very lucky there ngl,nick very lucky there ngl,nick very lucky there ngl,5
58,in boxing  that s what you call an e mail mickey mouse champion 🥊,in boxing  that s what you call an e mail mickey mouse champion emoji_boxing_glove,in box that s what you call an e mail mickey mouse champion emoji_boxing_glove,14
59,hey can someone appreciate me,hey can someone appreciate me,hey can someone appreciate I,5
60,most people do not see what an utter psychopathic scumbag jon jones is  the man has zero shame  zero guilt  zero principles  zero morals,most people do not see what an utter psychopathic scumbag jon jones is  the man has zero shame  zero guilt  zero principles  zero morals,most people do not see what an utter psychopathic scumbag jon jones be the man have zero shame zero guilt zero principle zero moral,24
61,12  million jones left on the table because he don t want to get knocked out  he will retire for zero money 🦆🦆,12  million jones left on the table because he don t want to get knocked out  he will retire for zero money emoji_duckemoji_duck,12 million jones leave on the table because he don t want to get knock out he will retire for zero money emoji_duckemoji_duck,23
62,another easy win for chael,another easy win for chael,another easy win for chael,5
63,jon jones was losing  he viciously knees andre in the nuts and punches elbows him several times when the fight is obviously stopped  jones is just a little kid in a man s body  so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win  pathetic tiny brain mind,jon jones was losing  he viciously knees andre in the nuts and punches elbows him several times when the fight is obviously stopped  jones is just a little kid in a man s body  so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win  pathetic tiny brain mind,jon jones be lose he viciously knee andre in the nut and punch elbow he several time when the fight be obviously stop jones be just a little kid in a man s body so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win pathetic tiny brain mind,57
64,brady didn t let patty mahomees,brady didn t let patty mahomees,brady didn t let patty mahomee,6
65,dc still scarred by his loss to jon jones 🤣,dc still scarred by his loss to jon jones emoji_rolling_on_the_floor_laughing,dc still scar by his loss to jon jones emoji_rolling_on_the_floor_laughing,10
66,it s hilarious listening to your interview jennifer   duckster duck master    jones   listen to jennifer   the duck     everyone  does everyone hear him loud and clear trying to avoid the guy he def knows is going to smoke his a 🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,it s hilarious listening to your interview jennifer   duckster duck master    jones   listen to jennifer   the duck     everyone  does everyone hear him loud and clear trying to avoid the guy he def knows is going to smoke his a emoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duck,it s hilarious listening to your interview jennifer duckster duck master jones listen to jennifer the duck everyone do everyone hear he loud and clear try to avoid the guy he def know be go to smoke his a emoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duck,40
67,jon s gonna be remembered for all the wrong things,jon s gonna be remembered for all the wrong things,jon s go to be remember for all the wrong thing,11
68,what a bellend   time for a new dana,what a bellend   time for a new dana,what a bellend time for a new dana,8
69,jon do you think i m just gonna sit here and let you get interviewed by me,jon do you think i m just gonna sit here and let you get interviewed by me,jon do you think I m just go to sit here and let you get interview by I,18
70,meanwhile jon is doing hikes in nm and thinking about other shit,meanwhile jon is doing hikes in nm and thinking about other shit,meanwhile jon be do hike in nm and think about other shit,12
71,fight him when he was 10 years younger   p,fight him when he was 10 years younger   p,fight he when he be 10 year young p,9
72,more lies from brenda 🤣,more lies from brenda emoji_rolling_on_the_floor_laughing,more lie from brenda emoji_rolling_on_the_floor_laughing,5
73,"behehehehehehhehhehehehehehehehehehehhehehehehehehehehe

 i","behehehehehehhehhehehehehehehehehehehhehehehehehehehehe

 i",behehehehehehhehhehehehehehehehehehehhehehehehehehehehe I,2
74,that usa chant man great,that usa chant man great,that usa chant man great,5
75,jones will never fight tom,jones will never fight tom,jones will never fight tom,5
76,jon will tear toms legs apart just saying,jon will tear toms legs apart just saying,jon will tear tom leg apart just say,8
77,jones got a grey beard 😂,jones got a grey beard emoji_face_with_tears_of_joy,jones get a grey beard emoji_face_with_tears_of_joy,6
78,this is your goat guys 😂😂,this is your goat guys emoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,this be your goat guy emoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,6
79,it s the same with canelo vs benavidez  they only got to lose and nothing to gain,it s the same with canelo vs benavidez  they only got to lose and nothing to gain,it s the same with canelo vs benavidez they only get to lose and nothing to gain,17
80,john  duck  jones  what a goat  wooow,john  duck  jones  what a goat  wooow,john duck jones what a goat wooow,7
81,😂,emoji_face_with_tears_of_joy,emoji_face_with_tears_of_joy,1
82,it was beautiful  truly spoken like the sociopath he is,it was beautiful  truly spoken like the sociopath he is,it be beautiful truly speak like the sociopath he be,10
83,can t wait to see all the comments saying jon is ducking him when he s in the fight full mount raining ground and pound and chokes him out  bunch of casuals who just started watching ufc in this comment section  even after that dominant performance in jon s last fight  it s goijng to happen again,can t wait to see all the comments saying jon is ducking him when he s in the fight full mount raining ground and pound and chokes him out  bunch of casuals who just started watching ufc in this comment section  even after that dominant performance in jon s last fight  it s goijng to happen again,can t wait to see all the comment say jon be duck he when he s in the fight full mount rain ground and pound and choke he out bunch of casual who just start watch ufc in this comment section even after that dominant performance in jon s last fight it s goijng to happen again,57
84,if these fighters are so good you fight the best no question,if these fighters are so good you fight the best no question,if these fighter be so good you fight the good no question,12
85,john bones the dodger,john bones the dodger,john bones the dodger,4
86,forget the alcohol was matt riddle😂,forget the alcohol was matt riddleemoji_face_with_tears_of_joy,forget the alcohol be matt riddleemoji_face_with_tears_of_joy,6
87,sexual chocolate 🍫,sexual chocolate emoji_chocolate_bar,sexual chocolate emoji_chocolate_bar,3
88,he should fight tom for the belt   then alex,he should fight tom for the belt   then alex,he should fight tom for the belt then alex,9
89,john jones is a fuckin bum that would get smashed in a street fight,john jones is a fuckin bum that would get smashed in a street fight,john jones be a fuckin bum that would get smash in a street fight,14
90,"jon jones goat 
  drug cheat
  woman beater
  professional duck","jon jones goat 
  drug cheat
  woman beater
  professional duck",jon jones goat drug cheat woman beater professional duck,9
91,easy fight on cke,easy fight on cke,easy fight on cke,4
92,u forgot to look under  inside cage,u forgot to look under  inside cage,u forget to look under inside cage,7
93,why not fight them both since  your the  goat   prove the people  wrong  then john,why not fight them both since  your the  goat   prove the people  wrong  then john,why not fight they both since your the goat prove the people wrong then john,15
94,i think the fans would much rather see jj fight ta way before he fights ap i would say if he beats sm then fight ta and if you win that fight then fight ap,i think the fans would much rather see jj fight ta way before he fights ap i would say if he beats sm then fight ta and if you win that fight then fight ap,I think the fan would much rather see jj fight ta way before he fight ap I would say if he beat sm then fight ta and if you win that fight then fight ap,35
95,dc goat,dc goat,dc goat,2
96,they all affect your legacy,they all affect your legacy,they all affect your legacy,5
97,the most impressive accomplishment from chael  changing bodies just for the time of a fight with jon jones  clearly a wizard and the goat,the most impressive accomplishment from chael  changing bodies just for the time of a fight with jon jones  clearly a wizard and the goat,the most impressive accomplishment from chael change body just for the time of a fight with jon jones clearly a wizard and the goat,24
98,i just want it to be known that this made headlines for his corner not calling it and forcing him to call it  worse mistake ever  basically throwing your boy under the bus 🚐,i just want it to be known that this made headlines for his corner not calling it and forcing him to call it  worse mistake ever  basically throwing your boy under the bus emoji_minibus,I just want it to be know that this make headline for his corner not call it and force he to call it bad mistake ever basically throw your boy under the bus emoji_minibus,34
99,quitters never win 🏆 u need to go watch this full a  whooping he got for him to quit like this,quitters never win emoji_trophy u need to go watch this full a  whooping he got for him to quit like this,quitter never win emoji_trophy u need to go watch this full a whooping he get for he to quit like this,21
100,it s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds,it s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds,it s a real shame that a guy with a scripture tattooed on his chest constantly choose arrogance and evil deed,21
101,man i don t get why they wear masks  hard for me to watch with that,man i don t get why they wear masks  hard for me to watch with that,man I don t get why they wear mask hard for I to watch with that,16
102,get that revenue,get that revenue,get that revenue,3
103,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,13
104,did herb just hit me  😂😂,did herb just hit me  emoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,do herb just hit I emoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,6
105,jon always run too afraid fight aspinal  come on jon  why you never want to fight aspinal  are you too scared,jon always run too afraid fight aspinal  come on jon  why you never want to fight aspinal  are you too scared,jon always run too afraid fight aspinal come on jon why you never want to fight aspinal be you too scared,21
106,i think my audio is broken  all i heard was quack quack,i think my audio is broken  all i heard was quack quack,I think my audio be break all I hear be quack quack,12
107,put it on the official record  tom is 1 0 vs jon  fastest tko in history,put it on the official record  tom is 1 0 vs jon  fastest tko in history,put it on the official record tom be 1 0 vs jon fast tko in history,16
108,"jon jones signed a new 8 fight deal 
he fought 1 time after against ciryl gane 
according to your video that would be 1 or at most 2 more ufc fights 
that obviously leaves several fights still tied to ufc 
unless granted a release your video idea of post ufc fights don t seem to have much possibility","jon jones signed a new 8 fight deal 
he fought 1 time after against ciryl gane 
according to your video that would be 1 or at most 2 more ufc fights 
that obviously leaves several fights still tied to ufc 
unless granted a release your video idea of post ufc fights don t seem to have much possibility",jon jones sign a new 8 fight deal he fight 1 time after against ciryl gane accord to your video that would be 1 or at most 2 more ufc fight that obviously leave several fight still tie to ufc unless grant a release your video idea of post ufc fight don t seem to have much possibility,58
109,what a coward,what a coward,what a coward,3
110,i m gay 😊,i m gay emoji_smiling_face_with_smiling_eyes,I m gay emoji_smiling_face_with_smiling_eye,4
111,i just don t think tom can beat jon  i have nothing against him personally  but jon is a different animal,i just don t think tom can beat jon  i have nothing against him personally  but jon is a different animal,I just don t think tom can beat jon I have nothing against he personally but jon be a different animal,21
112,that s one of the reasons they hate on you champ,that s one of the reasons they hate on you champ,that s one of the reason they hate on you champ,11
113,typicall jon jones  i pray for his wife and kids  he is for sure not the goat of mma  he is good  but he is also a cheater in mma and marriage  a riminal  a drug user  a steoroid user  a wife beater and a p ssy  he was ducking gustaffson for years as well as aspinall  not forget his controversial  wins  at the end of his lhw run  jj is no mma mount rushmore material,typicall jon jones  i pray for his wife and kids  he is for sure not the goat of mma  he is good  but he is also a cheater in mma and marriage  a riminal  a drug user  a steoroid user  a wife beater and a p ssy  he was ducking gustaffson for years as well as aspinall  not forget his controversial  wins  at the end of his lhw run  jj is no mma mount rushmore material,typicall jon jones I pray for his wife and kid he be for sure not the goat of mma he be good but he be also a cheater in mma and marriage a riminal a drug user a steoroid user a wife beater and a p ssy he be duck gustaffson for year as well as aspinall not forget his controversial win at the end of his lhw run jj be no mma mount rushmore material,76
114,the dragon have my respect everyone tap in that choke but he didn t❤,the dragon have my respect everyone tap in that choke but he didn temoji_heavy_black_heart,the dragon have my respect everyone tap in that choke but he didn temoji_heavy_black_heart,14
115,honest saying,honest saying,honest say,2
116,personally i think jones can suck a giant pickled egg  i want tom to get his shot at undisputed regardless if bones is there or still in thai land  living his best life,personally i think jones can suck a giant pickled egg  i want tom to get his shot at undisputed regardless if bones is there or still in thai land  living his best life,personally I think jones can suck a giant pickle egg I want tom to get his shot at undisputed regardless if bone be there or still in thai land live his good life,33
117,didn t know stewart from snl did mma,didn t know stewart from snl did mma,didn t know stewart from snl do mma,8
118,well done brother 🙏,well done brother emoji_person_with_folded_hands,well do brother emoji_person_with_folded_hands,4
119,lol guru jon isnt fighting ngannou  hes not fighting anyone hes the wwe heavyweight champion,lol guru jon isnt fighting ngannou  hes not fighting anyone hes the wwe heavyweight champion,lol guru jon be not fight ngannou he s not fight anyone he s the wwe heavyweight champion,18
120,told ya no1 likes this adam fella,told ya no1 likes this adam fella,tell ya no1 like this adam fella,7
121,epic win  uncle chael,epic win  uncle chael,epic win uncle chael,4
122,most people aren t intelligent enough to recognize the work of a genius,most people aren t intelligent enough to recognize the work of a genius,most people aren t intelligent enough to recognize the work of a genius,13
123,black kratos,black kratos,black krato,2
124,its sad that he talks like this he is straightforward saying aspinal is better,its sad that he talks like this he is straightforward saying aspinal is better,its sad that he talk like this he be straightforward say aspinal be well,14
125,this comment section is golden  i love it,this comment section is golden  i love it,this comment section be golden I love it,8
126,100  guarantee by the way lmao,100  guarantee by the way lmao,100 guarantee by the way lmao,6
127,ngannou against last names in spanish,ngannou against last names in spanish,ngannou against last name in spanish,6
128,damn the duck quacked so hard at just an english accent  now think of how much he s ducking tom,damn the duck quacked so hard at just an english accent  now think of how much he s ducking tom,damn the duck quack so hard at just an english accent now think of how much he s duck tom,20
129,"the first fight  him soccer kickin doot after the stoppage 

his dark heart has never been hidden","the first fight  him soccer kickin doot after the stoppage 

his dark heart has never been hidden",the first fight he soccer kickin doot after the stoppage his dark heart have never be hide,17
130,jones champion  buuu  buuuuu  nervous gay,jones champion  buuu  buuuuu  nervous gay,jones champion buuu buuuuu nervous gay,6
131,no he didn t he will never fight tom,no he didn t he will never fight tom,no he didn t he will never fight tom,9
132,tom will loss his next fight im sure of it hes lost twice all ready,tom will loss his next fight im sure of it hes lost twice all ready,tom will loss his next fight I m sure of it he s lose twice all ready,17
133,thank god ank beat alex pereira 😂,thank god ank beat alex pereira emoji_face_with_tears_of_joy,thank god ank beat alex pereira emoji_face_with_tears_of_joy,7
134,jon jones is an absolute embarrassment to the sport of mma  tom is the real undisputed heavyweight champ,jon jones is an absolute embarrassment to the sport of mma  tom is the real undisputed heavyweight champ,jon jones be an absolute embarrassment to the sport of mma tom be the real undisputed heavyweight champ,18
135,he avoided retiring in the cage after his win over stipe so he could waste everyone s time  everyone  and then retire like this  such a shame but clearly ducking,he avoided retiring in the cage after his win over stipe so he could waste everyone s time  everyone  and then retire like this  such a shame but clearly ducking,he avoid retire in the cage after his win over stipe so he could waste everyone s time everyone and then retire like this such a shame but clearly duck,30
136,not a jones fight without a foul,not a jones fight without a foul,not a jones fight without a foul,7
137,"no one  
jon jones   destroying ball mode actived","no one  
jon jones   destroying ball mode actived",no one jon jones destroy ball mode active,8
138,🤔 costa s elbow looks like a nipple 💯😂🍕,emoji_thinking_face costa s elbow looks like a nipple emoji_hundred_points_symbolemoji_face_with_tears_of_joyemoji_slice_of_pizza,emoji_thinking_face costa s elbow look like a nipple emoji_hundred_points_symbolemoji_face_with_tears_of_joyemoji_slice_of_pizza,9
139,bruh frances will whip both of them,bruh frances will whip both of them,bruh france will whip both of they,7
140,man  just being there is good enough  🤙,man  just being there is good enough  emoji_call_me_hand,man just be there be good enough emoji_call_me_hand,8
141,aspinall so thirsty to fight the champ how many times must bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,aspinall so thirsty to fight the champ how many times must bones prove himself yall keep coming back to see him loose yall thirsty like tom emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,aspinall so thirsty to fight the champ how many time must bone prove himself you all keep come back to see he loose you all thirsty like tom emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,29
142,dc,dc,dc,1
143,how is this clown an mma reporter and still cant pronounce alex pereira correctly,how is this clown an mma reporter and still cant pronounce alex pereira correctly,how be this clown an mma reporter and still can not pronounce alex pereira correctly,15
144,and they calling khabib  the goat  hmm  i get the joke  15 4,and they calling khabib  the goat  hmm  i get the joke  15 4,and they call khabib the goat hmm I get the joke 15 4,13
