id,text_lemma,compound,label
4121,be I wrong or just don t know the rule but both knee be off the mat when the kick the knee that s a legal strike right again maybe I just don t know the rule,-0.2617,negative
29,wow upload by the ufc thank you,0.743,positive
65,dc still scar by his loss to jon jones emoji_rolling_on_the_floor_laughing,-0.3182,negative
838,how do I know you re an alcoholic,0.0,neutral
3906,look cormi you poke miocic in the first fight like 5time or so,-0.0258,neutral
3773,this be brilliant emoji_face_with_tears_of_joy,0.5859,positive
4635,what do jon jones have to do he s already the goat beat asspinal who have do what absolutely nothing in 10 year asspinal will be another great hw like many and jj will still be the goat who the heck have asspinal beat sergai volk blade emoji_face_with_tears_of_joy ya he s the good look at jon resamae and look at asspube,0.8885,positive
3161,jon will run run run,0.0,neutral
2659,easy for non fighter to not understand in this game the fighter usually do not win john be the goat in his legacy we will not talk about tom it win t matter,-0.2368,negative
4615,no human should be live with this type of money,-0.296,negative
4628,you get to know when to hold em know when to fold em,0.0,neutral
2451,he s right everyone want he to fight the guy that might beat he instead of the guy that he might beat,-0.3182,negative
2846,dope,0.0,neutral
1144,jones vs someone will happen at sometime in future emoji_face_with_tears_of_joy,0.0,neutral
3078,tom already defend the interim title and jon still win t fight he that s insane when they strip jon I wonder if tom will get 1 title defense as a champ because it would make no sense for he not to have that on his record,0.2263,positive
1103,naa stepe be right,0.0,neutral
168,he have weak rib if that kick take he down,-0.4404,negative
1670,this do everything for jones if he win he be right if he lose his rep will be tarnish if he duck the standing ic he will be a duck for the rest of his life he s scared,-0.2023,negative
2570,you think whisky go to save you the goat,0.4939,positive
2377,that dude sound jealous much huh,-0.4588,negative
4395,well that go exactly like most of we think it would too damn bad these guy couldn t fight almost a decade ago btw enough of the trump glazing ufc jesus christ we get it quite the right wing propaganda machine now with old musk,-0.7351,negative
4257,retirement into bootybanditism for now goodbye,0.0,neutral
3862,daniel try to gas it up because he never could beat he be funny af,0.4404,positive
23,чемпион чемпионов легенда,0.0,neutral
2633,he be 8 year yung than dc btw,0.0,neutral
3340,marner should keep the bubble it subconsciously make he feel safe,0.4404,positive
2215,fuck humble,-0.5423,negative
3682,thank you dc for great fight hope your eye isn t damage too bad,0.0516,positive
4724,dc know what he s do emoji_face_with_stuck_out_tongue_and_winking_eye,0.0,neutral
1907,dana be jealous,-0.4588,negative
84,if these fighter be so good you fight the good no question,0.4446,positive
227,I just think tom will do what he do in most of his fight and get clip move in difference being jones will punish he for it hard than other do I just don t want tom to be beat up jones be to far ahead would be entertaining though,-0.5367,negative
296,sonnen make a living by talk shit just to get his ass kick,-0.7964,negative
1001,by his logic nobody get a title shot until they hold a title if he wasn t bother by aspinal he d just fight he he s scared simple as that I think jones be the man but he s show himself to be a p ssy who s not willing to put his belt on the line,-0.5346,negative
2138,this make I proud to be a black christian man who support president trump emoji_person_with_folded_handsemoji_emoji_modifier_fitzpatrick_type_4emoji_boxing_gloveemoji_boxing_glove,0.7003,positive
711,the great fighter of all time emoji_goat,0.6908,positive
2801,jones be so insecure he doesn t wanna print money if that mean a loss,-0.711,negative
2527,jones would make easy work of aspinall,0.4404,positive
3752,jones refuse to fight aspinall be not a good look he can think to himself that aspinall doesn t deserve the fight but we all know he do if jones be as good as he think he be then there s no threat take on aspinall just an easy payday right,-0.8901,negative
3321,at this point I genuinely think jon jones have some blackmail over dana white from a diddy party or something,0.4019,positive
3181,this be a great interview and great promo response by aspinall wellll do sir,0.8481,positive
4183,jon be bastardize the sport by not fight the interim regardless of who you support it s common f cking sense for the champ to fight the interim and if you disagree then you re a f cke i d ot,0.4885,positive
1615,he have that pay off price in his head if I say yeah I lose the,-0.2263,negative
3024,emoji_syringe will get you far jones be the emoji_goat,0.0,neutral
1413,really tough decision,-0.2006,negative
763,love that you guy be do this giveaway two goat,0.6369,positive
655,ton should not even be a champ super weak resume,-0.1416,negative
4797,bro you good and if you can not fight anymore its all good keep your head up I support you,0.8652,positive
3849,I m not surprised they actually post the entire round in such a short notice,-0.1695,negative
4153,we ve all see fighter scar to fight someone but never have we see a fighter scar to even speak about someone in an interview that s a whole new level of duck someone,0.1027,positive
468,horrible commentating just say I don t like jon and I m go to tell you throughout the commentation,-0.25,negative
157,dirty move below the belt by jon jones,-0.4404,negative
1295,I believe if he fight smart he would of win,0.5994,positive
497,goddam all these comment be funny but I d like some actually real comment can t find not ine,0.4497,positive
4740,bruh answer his own question lol if the fight be do and he retire then you know why he s scared emoji_face_with_tears_of_joy,-0.4019,negative
2940,eff jon jones,0.0,neutral
3456,everybody as in who,0.0,neutral
373,the goat,0.0,neutral
79,it s the same with canelo vs benavidez they only get to lose and nothing to gain,-0.6679,negative
1553,wow that be a beautiful bittersweet exchange there every athlete in every sport can identify with this to some extent so much heart from dc there and such sincerity from joe,0.8126,positive
1669,back in 2017 watch jon jones highlight be what get I into ufc I have google who be the good mma fighter and it say jones so I look he up suck that he do this c but I hope it s just head game with aspinall,0.705,positive
2131,I don t wanna fight the guy that s young big than meemoji_face_with_tears_of_joy this be comedic at this point emoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughe,0.0258,neutral
4439,you ll be remember for duck dude with your pot belly bruv hush your gum and fight the animal you mug,-0.3818,negative
465,real champ thank u dc for your fighting career truly the good emoji_fire,0.836,positive
248,solid forr whitaker impersonation 10 out of 10,0.1531,positive
931,he s team say no he beat u,-0.296,negative
1335,why would you not wear a cup emoji_teacup_without_handleemoji_teacup_without_handleemoji_teacup_without_handle,0.0,neutral
4524,stupid who care we no he s an a hole,-0.34,negative
1338,I ve be nut check before I can not imagine a knee nut check,0.0,neutral
1406,the world be heal,0.0,neutral
1090,this the man that straight face ask if he could finger nina infront of her boyfriend he ain t scar of jon jones lmao,0.7003,positive
4209,че тут происходит объяснительную бригаду,0.0,neutral
742,goosebump be come in until I see matt hughe emoji_crying_face,0.0,neutral
2323,I m as annoyed with british accent as the next guy but that s not a good look for jj,-0.3419,negative
3601,this be actually disgusting jones ruin his own legacy again,-0.802,negative
2123,jon quack jones,0.0,neutral
2094,what contender exactly be we talk about,0.128,positive
240,who s the strategist coach,0.0,neutral
2351,duck emoji_duck,0.0,neutral
1370,run forest ruuuuunnn I love bone but this be lame he earn it and you earn it the people want to see it you be downplay how big aspinol vs jones be and will be fight aspinol or retire,-0.6187,negative
1057,1 jon jones 2 mighty mouse 3 silva 4 gsp 5 khabib,0.0,neutral
4816,dc at time have be more of a bully than jon jones and I refuse to feel sorry for this guy,-0.7165,negative
199,your go to see nice dana mad dana and mean dana emoji_rolling_on_the_floor_laughingemoji_face_palmemoji_emoji_modifier_fitzpatrick_type_3 emoji_male_sign but either way chael the good storyteller in the business right now hand down it s a pro wrestling vignette cross with a color commentary emoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughe,0.8381,positive
2280,emoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_fire,0.0,neutral
4749,как называется песня,0.0,neutral
2220,I don t know anything about boxing or kick boxing or wrestling but this break my heart his trainer believe in he when he didn t believe in himself,0.0,neutral
4771,it s ok we can just pretend that 1 be from the reyes fight,-0.2023,negative
2819,I love mma however most mma fan be the bad very ungrateful and disloyal,-0.0038,neutral
3150,jon jones be and always will be a legendary warrioremoji_heavy_black_heartemoji_party_popper,0.0,neutral
4256,emoji_duck,0.0,neutral
3107,almost tea bag he like a 2 whore emoji_skullemoji_skull_and_crossbone,-0.4215,negative
1973,pathetic sore loser and not a warrior rumble give up like a coward,-0.8779,negative
1375,no chance emoji_rolling_on_the_floor_laughing you can say all you want about beat j j and he scar or whatever but once you re in that octagon emoji_octagonal_sign with the man then it s wham bam goodnight ma am,0.0129,neutral
3968,tom aspinall have like five loss lol,0.4588,positive
4062,I love it he be not jon as an opponent not an enemy I love good sportsmanship,0.9343,positive
4445,my favourite chael sonnen fight he get destroy emoji_face_with_tears_of_joy,-0.7269,negative
3557,drug idiot,-0.5106,negative
964,think jon be afraid of tom be crazy emoji_face_with_tears_of_joyemoji_shrugemoji_emoji_modifier_fitzpatrick_type_5 emoji_male_sign,-0.34,negative
179,ჯრბemoji_heavy_black_heartemoji_heavy_black_heartemoji_heavy_black_heartemoji_heavy_black_heart,0.0,neutral
3698,because it s all about belief and none of they can out believe usyk include dubois,0.0,neutral
3821,reye win first 2 round and than get control for 3 roubds straight cause reye be burn out,0.6908,positive
4878,dana be piss,-0.4019,negative
3899,time for jon to jog on,0.0,neutral
4487,jon s spot on this guy be be an absolute asshole for no reason emoji_face_palmemoji_emoji_modifier_fitzpatrick_type_4 emoji_male_sign emoji_face_palmemoji_emoji_modifier_fitzpatrick_type_4 emoji_male_sign emoji_face_palmemoji_emoji_modifier_fitzpatrick_type_4 emoji_male_sign,-0.296,negative
3238,his hair doesn t look real lol,0.4215,positive
2974,jones be the dirty fighter in the ufc nut shot eye poke and spin elbow to the back of the head,-0.3182,negative
3580,aspinal be no match to jones scientifically skillfull fight technique jones be a clever fighter he will study aspinal movement and aspinal will be depeate,-0.0516,negative
2887,I ve be out of the ufc loop for a while be jon jones fight again,-0.3818,negative
2575,emoji_chickenemoji_duck,0.0,neutral
1419,embarrass,-0.296,negative
3907,reye be the ufc world champion that night,0.5994,positive
4673,that didn t seem very appropriate do word mean nothing anymore,0.0,neutral
4902,3 13 he s out,0.0,neutral
1860,jon jones the goat tom isn t deserve but jj go to bully he,-0.4215,negative
8,ripemoji_blue_heart,0.0,neutral
2894,emoji_flexed_bicepsemoji_flexed_bicepsemoji_latin_cross emoji_crownemoji_martial_arts_uniformemoji_weight_lifter emoji_male_sign,0.0,neutral
2847,jj would smash he all that talk for nothing,0.25,positive
3664,how many time can you break the rule of a professional fighter and then still be like I m the good the answer be none if ur a real champion fighter you stay professional no matter how shitty you want to be ps I think we all know we wouldn t get in the ring with tom it probably wouldn t even be close jon eye poke jones in his prime maybe be close these new fighter be a different breed that s why he pusse out because he know unless he get super lucky would have be legacy destroy by the 2nd,0.872,positive
144,and they call khabib the goat hmm I get the joke 15 4,0.296,positive
2104,you people be garbage,0.0,neutral
3143,imagine where his career might be if he do weasle his way out of it,0.0,neutral
841,I admire top talent like jon jones bec they have an uncanny memory to remember event like that like it happen yesterday,0.9217,positive
1128,not one of you scare I,-0.4939,negative
151,somebody call a doctor stipe ain t gon shit right for 2week after the mule kick ouch I feel bad for dood,-0.7964,negative
3591,tom and I tom hat you your making like your buddy,0.3612,positive
1052,and now dc and joe be the one of good commentator of all time,0.4404,positive
1590,I m so confused why didn t he want to do the interview what accent do the guy have that freak he out so much,-0.6361,negative
3008,this be good case scenario for jon he s old he be go to lose now he can keep his ego in check tweet when tom win a fight and fake his religious persona,-0.1779,negative
2029,I hear a rumor that jon retire because he have an upcoming case seem to be a hit and run situation while drive under the influence what dumb ass move if it s true,-0.6124,negative
3418,the entire situation how he go out be laughable he didn t retire after stipe because he want pereira as stylistically it s a walk in the park for he he never plan for either aspinall or ngannou because they be just different beast age be not an excuse as ngannou be old than he aspinall 5 year young so it s not like it s a night and day difference negotiate himself out of ngannou fight ngannou leaf and then immediately return to fight gane say what you will but jones have always be the guy that play it safe,0.5862,positive
1807,jones the great duck of all time,0.6249,positive
2696,I honestly believe alex be go to shock everyone and not even need to wrestle he ll knock john out as he try to take he down,0.1027,positive
3039,about duck time,0.0,neutral
472,jones and silva never win a fight in my eye,-0.2235,negative
3289,goat at duck cheat wife beat,-0.4588,negative
4074,bring up jean silva mom situation through a tweet be diabolical man,0.0,neutral
3496,bro even duck the question,0.0,neutral
279,I know it jon doesn t have the gut nor the physique or skill to face aspinall,0.0,neutral
1741,punch bag do not win fight,-0.2235,negative
4624,ufc be become a shit show,-0.5574,negative
2886,dc still wake up cry jon would really steal his life for some bs like that and with a quickness,-0.624,negative
1941,listen I love dc but john would literally kill dc emoji_smiling_face_with_open_mouth_and_cold_sweat,-0.714,negative
100,it s a real shame that a guy with a scripture tattooed on his chest constantly choose arrogance and evil deed,-0.8979,negative
2804,john have no legacy he s a bum,-0.296,negative
3570,that s the religion of peace for ya emoji_face_with_tears_of_joyemoji_clown_face,0.5423,positive
3684,rip a legend,0.0,neutral
3661,think that be arthur jones,0.0,neutral
530,tom asspinal be call out every light heavyweight he can get his hand on instead of fight a legitimate heavyweight in gane,0.1531,positive
1886,incorrect I hate jon jones 4 wat he have do to other ppls career for 1 the monster he be irl for 2 and I would b happy if he d just stop ruin the sport,-0.7184,negative
681,let goooooo,0.0,neutral
3794,no honour or courage for the sociopath I guess,0.6908,positive
3944,I believe stipe get pay to lose this fight jones just over rat now,-0.7269,negative
4666,jon be the dirty fighter in ufc just look at his rampage match,-0.3182,negative
2018,that s why jon can t be the goat he taint his career with ped and nonsense outside of the cage I wouldn t let he compete again after strip he of the title,-0.4019,negative
1096,tom still wait he coulda cop a fight in between lol,0.0516,positive
829,let s gooo,0.0,neutral
2805,thank for share this learn a lot,0.5719,positive
3829,weasel salty afemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy cope hard dorkemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,-0.1027,negative
4381,tom hold the record for fast finish jon would be toast in under a minute he d embarrass jon,-0.296,negative
3891,happy retirement dc it s understandable know your competitive nature you d feel down but nothing to keep your head down about you only lose two goat of their division,-0.2144,negative
764,emoji_smiling_face_with_open_mouth_and_cold_sweat,0.0,neutral
2767,justice for mark hunt,0.5267,positive
4328,hoooyaaaa,0.0,neutral
3295,dana be just mad,-0.4939,negative
2194,coward poop dikk,-0.4588,negative
2357,the truth be that many people be jealous and want to see you fail when you be at the top of your game since jon hasn t lose a lot of people be criticize he but acknowledge that he have face tough opponent but tom be just getting start if jon win you ll undoubtedly say thing like tom be rob etc to tell he to fight anyone you want he to fight be not jon s job,-0.8047,negative
3425,his legacy be secure as a cheat and a duck,-0.1531,negative
3979,both but aspinall first or vacate I see asterisk in this legacy s future wild how love work tho,0.7783,positive
911,an jack,0.0,neutral
3145,trump need to hire jon as his full time body guard lol,0.4215,positive
999,he just admit that mma be a show like wwe it be all business only nothing about be the strong fighter,0.802,positive
3653,khabib really piss I off he win 10 fight and then get a title shot then get 3 title defence like,0.2748,positive
2483,jon s be play his card well if he fight tommy it s go to be for a huge paycheck,0.4939,positive
4076,emoji_heavy_black_heartemoji_heavy_black_heartemoji_heavy_black_heart,0.0,neutral
2370,man see a man break like this who have to make the confession that he can no long do this be hard to see,-0.0258,neutral
4838,where s henry,0.0,neutral
33,yeah that s intimidate but I would ve say that s kinda gay,0.0516,positive
3789,regardless jon jones be a beast an one of the good mma fighter ever I mean ever,0.5423,positive
1020,great man great yea bag perfect technique,0.9169,positive
1647,he look piss emoji_face_with_tears_of_joy,-0.4019,negative
733,от джонсон пофигу он не удивляется от вашего дебилизма,0.0,neutral
4582,I m guess he s go to agree to the fight hold you up for a long ass time then back out for one reason or the other hurt prison drug etc etc I d be so ashamed of myself if it be I hold up an entire division but I also wouldn t poke ppls eye or try to destroy their knee with a needlessly legal but absolutely disgusting straight kick to they you could literally damage a guy leg for life for a sport most retire from quite early and don t make enough to ride off into the sunset elbow up,-0.9624,negative
3274,scared bone jones,-0.4404,negative
1620,he look out of shape,0.0,neutral
3135,just imagine if jon slap the ball sack outta tom what would all the hater of jones say then jon have nothing to gain by fight aspinall tom need jon to remain relevant because in the heavyweight division there be nothing I d like to see pariera fight tom and then whoever win jon should say I m good and retire lol,-0.1989,negative
2689,я взрослый мужик и черт возьми я плачу столько величия в этих кадрах,0.0,neutral
2707,andre be really unlucky here he s prepared to fight houston alexander then 2 day before the fight it get switch to some guy that nobody s ever hear of who turn out to be the good lhw of all time really deserve a second fight in the ufc,-0.4588,negative
297,khabib retire bc he know if he take a single rematch he d surely get his own cheek hand to he easily,0.8176,positive
2339,this aspinal dude be a nobody he will get his chance when the champ be ready,0.765,positive
653,he be always over rat ufc fan no nothing about mma,0.0258,neutral
3774,how the f be this guy so good man,0.5777,positive
1255,I m not a fan of john but I have to admit he s a damn good fighter,0.444,positive
4520,the goat who duck tom aspinal,0.0,neutral
230,he s the great closet sociopath fighter of all time true goat emoji_trophy,0.8176,positive
3276,it s anothe ngannou situation the ufc stand to lose the next champion again,0.296,positive
3230,he be smart enough to know it s not for he,0.4019,positive
691,no one need to fight jj when he be the young up come but they didst shy away from the challenge unlike jj,-0.1154,negative
2754,hahah ur lose your legacy everytime you duck this man as the goat and badd man on the planet you should just fight he and shut he up that way unless you know your beat,-0.6486,negative
4863,jones doesn t seem to be as smart as he think he just give out the his number in front of he god and everybody unless that be one of his ememie then it s brilliant,0.836,positive
969,fighter s name,0.1531,positive
633,people forget man jones go to a split decision with a kneeless former welterweight in thiago santo,-0.2263,negative
4092,chael be a dog,0.0,neutral
4077,man do groin hit and eye poke before it be cool,0.3182,positive
1321,uncle hunter hhh move up,0.0,neutral
1831,jon man up,0.0,neutral
2178,he s duck tom now tho,0.0,neutral
1417,one of the gnarli rivalry in the ufc too bad cormier couldn t seem to learn that he couldn t hold a candle to jon,-0.5423,negative
1782,like jones or not dude be the good pound for pound fighter in the world he s beat the good of the good,0.8957,positive
4715,why bro compare box to mma it s 2 different sport come on man,0.0,neutral
4701,say no to drug,-0.296,negative
4118,if anyone think jon have be clean throughout his career god help that poor soulemoji_face_with_tears_of_joy,0.5267,positive
1652,and yet dc lose jon be the remain undefeated champion and be live his good life not only be dc wrong but dc be bitter what dc say be only base off observation but none of it be base in the truth,-0.0644,negative
1483,look like idiot worship an eye poking cheater,-0.4767,negative
2275,boycot the ufc till jones be strip or fight tom the people be the ufc not dana and drug cheat jones,-0.6808,negative
877,jesus be the only way,0.0,neutral
3525,I m not even interested in the sport like I use to be jones fight doesn t matter,-0.3089,negative
2016,he could ve take the easy way say the guy hurl his knee lol wtf,0.2263,positive
426,get he tom emoji_face_with_tears_of_joyemoji_fire,0.0,neutral
626,your title be just bullshit,-0.5859,negative
1589,I want that abu dhabi card so bad but I know it ll never happen emoji_broken_heart,-0.3809,negative
2223,why do this guy have a hairline that be mess up,-0.3612,negative
2217,I think dana announce jones be fight aghhhhh soon wth be this,-0.7184,negative
4483,we get dc interview jon jones before gta 6,0.0,neutral
1485,tom aspinall hey pussy be you still there,0.0,neutral
1739,6mths since jones last fight and have a surgery before the stipe fight yes this fight need to happen but 6mths last fight it s tom fault he hasn t fight and that s real,-0.9169,negative
2480,drug aaddict woman beater cheating in a fight fight dirty what a legend emoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughingemoji_rolling_on_the_floor_laughingalos scar of aspinal don t forget about that coward move xd,-0.8957,negative
2584,so instead of the bell ring and tom be strip it should be tom in the cage instead of stipe,0.0,neutral
2893,I wanna see he takedown ngannou,0.0,neutral
149,a body tko be fuck insane good job bone,-0.5106,negative
676,another kid look for a life lesson greateast warrior of all time jonny bone,0.0,neutral
1261,jon jones call last nightemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joydana stfuemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,0.0,neutral
4917,tom have too much dip on his chip if he think he can touch jones shit,-0.5574,negative
12,he be a quitter a lot of people wish they be in his position shame on he for even compete in this sport,-0.1027,negative
1833,my be on bone aspinal be another cyril gane I ll wait,0.0,neutral
3248,stipe miocic look terrified,-0.6124,negative
1491,dc die wish be too see jon get beat emoji_face_with_uneven_eyes_and_wavy_mouthemoji_face_with_uneven_eyes_and_wavy_mouth,-0.296,negative
2727,hammah,0.0,neutral
3686,2000 2009 fedor destroy the cheat know as jon jones,-0.7579,negative
1424,jon jones have always be a diva,0.0,neutral
4605,reye win that fight hand down,0.6597,positive
4595,I hear butterbean be most likely next,0.0,neutral
731,tom will destroy he,-0.5423,negative
1231,all these mofo be jones bone kid,-0.5267,negative
1634,he use to be scary now he be just an old duck,-0.4939,negative
3936,he be offer 13 mil emoji_face_with_tears_of_joy ofcourse he win t accept that,0.7506,positive
1210,be it still ufc or chess,0.0,neutral
3268,what a fuck up crowd boo mousasi for nothing when weidman be be a bitch acting hurt then when it s call a legal knee he s fine then boo dc fighting with a broken nose and not even say anything about it,-0.9325,negative
1934,hill need to drop downhis rank very one dimensional fighter,-0.0609,negative
553,oh but he have no problem fight old fighter bro if you scar just say that,-0.8338,negative
491,strip jon the duck jones,0.0,neutral
2962,mighty mouse on that k town coke,0.0,neutral
2329,emoji_duck,0.0,neutral
2195,19 50 that shit scary jj could kill an average man in 1 minute,-0.8885,negative
3064,jony fairy bone,0.0,neutral
657,dana give the real belt to tom and leave the impressive video we want to see fight and tom the champion so that this particular division can move forward finally jon I wish he the good but he be never a heavyweight champion he must retire before all we stop to watch ufc and buy ppv,0.8481,positive
2374,jon jones sell I fent,0.0,neutral
2225,he do bad he make you cry on national television,-0.765,negative
4264,jones aspinall ngannou stipe pavlovich gane the heavyweight division have never be well than it be right now and dana have fumble the bag so hard we can t even get a fight schedule,-0.6463,negative
1170,dc sound like such a punk try to talk trash sound like a little white bully who be actually the class president emoji_face_with_tears_of_joy,0.2682,positive
