id,original,cleaned,tokens_count,lemmas,n_tokens_changed
15,"And jones does everything he can to avoid it, including retiring himself 😅😅😂😂😂😂",and jones does everything he can to avoid it including retiring himself 😅😅😂😂😂😂,13,and jones do everything he can to avoid it include retire himself 😅 😅 😂 😂 😂 😂,3
16,"Tell some idiots who compare ciryl can fight with francis ngannou, Tell them to compare jone jones fight with stipe now... francis finished him in seconds round why stipe was not old as now. Shame to jone jones and his fans.. francis ngannou vs ciryl cane , francis ngannou was even sick! He had an operation on he's knee... francis ngannou will kill jone jones.",tell some idiots who compare ciryl can fight with francis ngannou tell them to compare jone jones fight with stipe now francis finished him in seconds round why stipe was not old as now shame to jone jones and his fans francis ngannou vs ciryl cane francis ngannou was even sick he had an operation on he s knee francis ngannou will kill jone jones,65,tell some idiot who compare ciryl can fight with francis ngannou tell they to compare jone jones fight with stipe now francis finish he in second round why stipe be not old as now shame to jone jones and his fan francis ngannou vs ciryl cane francis ngannou be even sick he have an operation on he s knee francis ngannou will kill jone jones,9
17,Jon never beat Chael wtf is this fake news,jon never beat chael wtf is this fake news,9,jon never beat chael wtf be this fake news,1
18,This is why people love Paddy,this is why people love paddy,6,this be why people love paddy,1
19,It’s a fight let them knee .Jon jones the best ever,it s a fight let them knee jon jones the best ever,12,it s a fight let they knee jon jones the good ever,2
20,"YOUR DAD AND SISTER HATE YOU
YOUR DAUGHTERS WANT TO CHANGE EXPENSIV E",your dad and sister hate you your daughters want to change expensiv e,13,your dad and sister hate you your daughter want to change expensiv e,1
21,No chance on beating Fury or Wilder.,no chance on beating fury or wilder,7,no chance on beat fury or wilder,1
22,Ok so did he call it,ok so did he call it,6,ok so do he call it,1
23,"Чемпион, Чемпионов!!! Легенда!!!",чемпион чемпионов легенда,3,чемпион чемпионов легенда,0
24,"I hope it’s all hype to make the fight bigger and that he does end up fighting Tom, I’m not sure thou",i hope it s all hype to make the fight bigger and that he does end up fighting tom i m not sure thou,24,I hope it s all hype to make the fight big and that he do end up fight tom I m not sure thou,5
25,That look on Jon’s face when they robbed him in the Mat Hamil fight was a look we never saw again . Jones loose . Jones ain’t no looser,that look on jon s face when they robbed him in the mat hamil fight was a look we never saw again jones loose jones ain t no looser,29,that look on jon s face when they rob he in the mat hamil fight be a look we never see again jones loose jones ain t no looser,4
26,Real champ 💪🏻,real champ 💪🏻,3,real champ 💪 🏻,0
27,The ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer All.yellow 😅,the ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer all yellow 😅,29,the ufc should strip he of the belt or we all should start watch cage warrior and u no that song by cold play they wer all yellow 😅,3
28,And look at him now.. A proper 🦆,and look at him now a proper 🦆,8,and look at he now a proper 🦆,1
29,"Wow.  Uploaded by the UFC??? 
Thank you.",wow uploaded by the ufc thank you,7,wow upload by the ufc thank you,1
30,Легенда!,легенда,1,легенда,0
31,If Reyes hadn't lost that fight he would have been a Bonafide star of UFC ...,if reyes hadn t lost that fight he would have been a bonafide star of ufc,16,if reyes hadn t lose that fight he would have be a bonafide star of ufc,2
32,"“He put his hands above mine, time to only use my fingers and poke his eyes out” the dirty bastard would get whooped if they gloved the rest of the fingers",he put his hands above mine time to only use my fingers and poke his eyes out the dirty bastard would get whooped if they gloved the rest of the fingers,31,he put his hand above mine time to only use my finger and poke his eye out the dirty bastard would get whoop if they glove the rest of the finger,6
33,"Yeah, that's intimidating, but I would've said ""That's kinda gay""",yeah that s intimidating but i would ve said that s kinda gay,13,yeah that s intimidate but I would ve say that s kinda gay,3
34,"Aspinall will not win agains Jones, trust me!",aspinall will not win agains jones trust me,8,aspinall will not win agains jones trust I,1
35,BLESS HIM !!!,bless him,2,bless he,1
36,GOAT 🐐 OF MMA,goat 🐐 of mma,4,goat 🐐 of mma,0
37,"Honestly I totally get his perspective. I don't think he is making that decision based on losing his ""heavy weight"" title. He's already said he would rather vacate the title and move back down to his normal weight class",honestly i totally get his perspective i don t think he is making that decision based on losing his heavy weight title he s already said he would rather vacate the title and move back down to his normal weight class,41,honestly I totally get his perspective I don t think he be make that decision base on lose his heavy weight title he s already say he would rather vacate the title and move back down to his normal weight class,7
38,"Dana: we ll make an exception for you jones, you can juice up without no one knowing. Deal?
Jones: pictogram? Pinch of salt? Owwww yeaah",dana we ll make an exception for you jones you can juice up without no one knowing deal jones pictogram pinch of salt owwww yeaah,25,dana we ll make an exception for you jones you can juice up without no one know deal jones pictogram pinch of salt owwww yeaah,1
39,Prochazka is coming...,prochazka is coming,3,prochazka be come,2
40,#Quackquackquack 🦆,🦆,1,🦆,0
41,Clean??? I thought his whole issue is he can't stay clean??? 😂,clean i thought his whole issue is he can t stay clean 😂,13,clean I think his whole issue be he can t stay clean 😂,3
42,He has 0 chance against Fury & wilder they will both put him to sleep,he has 0 chance against fury wilder they will both put him to sleep,14,he have 0 chance against fury wilder they will both put he to sleep,2
43,"This guys motivation sucks. ""You got this. Cmon you got this. Breathe. You got this""

Literally the worst coach/cornerman I've seen in a long time.",this guys motivation sucks you got this cmon you got this breathe you got this literally the worst coach cornerman i ve seen in a long time,27,this guy motivation suck you get this cmon you get this breathe you get this literally the bad coach cornerman I ve see in a long time,8
44,Легендарный Последний Император!!!,легендарный последний император,3,легендарный последний император,0
45,"All the shit talking about jon, first achieve what jon did. No  only jon and khabib made history with no loss.",all the shit talking about jon first achieve what jon did no only jon and khabib made history with no loss,21,all the shit talk about jon first achieve what jon do no only jon and khabib make history with no loss,3
46,"If that sound was real, thats Crazy. Probably broke his Cheek or Orbital. It probably cost him the fight.",if that sound was real thats crazy probably broke his cheek or orbital it probably cost him the fight,19,if that sound be real that s crazy probably break his cheek or orbital it probably cost he the fight,3
47,A blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft. I’ll never pay $80 to see trump and his clown posse shown between every fight 😂,a blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft i ll never pay 80 to see trump and his clown posse shown between every fight 😂,41,a blind mind can see the promotion slip into political madness cater to one group of people while real fight fan get the shaft I ll never pay 80 to see trump and his clown posse show between every fight 😂,5
48,honestly prizepicks been easy af cash ngl,honestly prizepicks been easy af cash ngl,7,honestly prizepick be easy af cash ngl,2
49,Why are we translating English to English??,why are we translating english to english,7,why be we translate english to english,2
50,WTactuallyF,wtactuallyf,1,wtactuallyf,0
51,"Lucky the other guy isn’t the same kind of asshole he is, that teabag would have ended up around his ears, he’d of had new earrings that looked like walnuts! LOL 😂",lucky the other guy isn t the same kind of asshole he is that teabag would have ended up around his ears he d of had new earrings that looked like walnuts lol 😂,34,lucky the other guy isn t the same kind of asshole he be that teabag would have end up around his ear he d of have new earring that look like walnut lol 😂,7
52,Jon is looking to rematch his wife at the hotel. Last time they went to decision and the cops ruled it a no contest.,jon is looking to rematch his wife at the hotel last time they went to decision and the cops ruled it a no contest,24,jon be look to rematch his wife at the hotel last time they go to decision and the cop rule it a no contest,5
53,Ank will beat tom. Watch.,ank will beat tom watch,5,ank will beat tom watch,0
54,Great idea in the first place to bring Nate to Dagestan 🎉😂,great idea in the first place to bring nate to dagestan 🎉😂,12,great idea in the first place to bring nate to dagestan 🎉 😂,0
55,😂😂😂 greatest cheat you mean.  Khabib is the greatest,😂😂😂 greatest cheat you mean khabib is the greatest,9,😂 😂 😂 great cheat you mean khabib be the great,3
56,Jon was absolutely thinking bad thoughts on that 3rd interruption,jon was absolutely thinking bad thoughts on that 3rd interruption,10,jon be absolutely think bad thought on that 3rd interruption,3
57,Nick very lucky there ngl,nick very lucky there ngl,5,nick very lucky there ngl,0
58,"In Boxing, that’s what you call an E-Mail mickey mouse champion 🥊",in boxing that s what you call an e mail mickey mouse champion 🥊,14,in box that s what you call an e mail mickey mouse champion 🥊,1
59,Hey can someone appreciate me,hey can someone appreciate me,5,hey can someone appreciate I,1
60,"Most people do not see what an utter psychopathic scumbag Jon Jones is. The man has zero shame, zero guilt, zero principles, zero morals.",most people do not see what an utter psychopathic scumbag jon jones is the man has zero shame zero guilt zero principles zero morals,24,most people do not see what an utter psychopathic scumbag jon jones be the man have zero shame zero guilt zero principle zero moral,4
61,"12, million Jones left on the table because he don't want to get knocked out. He will retire for ZERO money...🦆🦆",12 million jones left on the table because he don t want to get knocked out he will retire for zero money 🦆🦆,23,12 million jone leave on the table because he don t want to get knock out he will retire for zero money 🦆 🦆,3
62,Another easy win for Chael,another easy win for chael,5,another easy win for chael,0
63,Jon Jones was losing. He viciously knees Andre in the nuts and punches/elbows him several times when the fight is obviously stopped. Jones is just a little kid in a man's body. So scared to lose he'll disrespect the sport and his opponent because he's hungry for a win. Pathetic tiny brain mind.,jon jones was losing he viciously knees andre in the nuts and punches elbows him several times when the fight is obviously stopped jones is just a little kid in a man s body so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win pathetic tiny brain mind,57,jon jones be lose he viciously knee andre in the nut and punch elbow he several time when the fight be obviously stop jones be just a little kid in a man s body so scar to lose he ll disrespect the sport and his opponent because he s hungry for a win pathetic tiny brain mind,12
64,Brady didn’t let patty mahomees,brady didn t let patty mahomees,6,brady didn t let patty mahomee,1
65,DC still scarred by his loss to Jon Jones 🤣,dc still scarred by his loss to jon jones 🤣,10,dc still scar by his loss to jon jones 🤣,1
66,It's hilarious listening to your interview JENNIFER**  DUCKSTER DUCK MASTER **  Jones ‼️‼️‼️‼️‼️ Listen to JENNIFER * THE DUCK  *  everyone  DOES EVERYONE HEAR HIM LOUD AND CLEAR TRYING TO AVOID THE GUY HE DEF KNOWS IS GOING TO SMOKE HIS A$$‼️‼️‼️‼️‼️‼️‼️🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,it s hilarious listening to your interview jennifer duckster duck master jones listen to jennifer the duck everyone does everyone hear him loud and clear trying to avoid the guy he def knows is going to smoke his a 🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,40,it s hilarious listening to your interview jennifer duckster duck master jones listen to jennifer the duck everyone do everyone hear he loud and clear try to avoid the guy he def know be go to smoke his a 🦆 🦆 🦆 🦆 🦆 🦆 🦆 🦆 🦆 💯 💯 💯 🦆 🦆 🦆 🦆 🦆 🦆 🦆 🦆 🦆 🦆 💯 💯 💯 💯 🦆 🦆 🦆,6
67,Jon's gonna be remembered for all the wrong things,jon s gonna be remembered for all the wrong things,10,jon s go to be remember for all the wrong thing,4
68,"What a Bellend,  time for a new Dana",what a bellend time for a new dana,8,what a bellend time for a new dana,0
69,Jon do you think I'm just gonna sit here and let you get interviewed by me??,jon do you think i m just gonna sit here and let you get interviewed by me,17,jon do you think I m just go to sit here and let you get interview by I,5
70,Meanwhile Jon is doing hikes in NM and thinking about other shit.,meanwhile jon is doing hikes in nm and thinking about other shit,12,meanwhile jon be do hike in nm and think about other shit,4
71,Fight him when he was 10 years younger : p,fight him when he was 10 years younger p,9,fight he when he be 10 year young p,4
72,More lies from brenda 🤣,more lies from brenda 🤣,5,more lie from brenda 🤣,1
73,"BEHEHEHEHEHEHHEHHEHEHEHEHEHEHEHEHEHEHHEHEHEHEHEHEHEHEHE

..i..",behehehehehehhehhehehehehehehehehehehhehehehehehehehehe i,2,behehehehehehhehhehehehehehehehehehehhehehehehehehehehe I,1
74,That USA chant man great,that usa chant man great,5,that usa chant man great,0
75,Jones will never fight tom,jones will never fight tom,5,jones will never fight tom,0
76,Jon will tear Toms legs apart just saying,jon will tear toms legs apart just saying,8,jon will tear tom leg apart just say,3
77,Jones got a grey beard 😂,jones got a grey beard 😂,6,jones get a grey beard 😂,1
78,This is your Goat Guys 😂😂,this is your goat guys 😂😂,6,this be your goat guy 😂 😂,2
79,It’s the same with canelo vs Benavidez… they only got to lose and nothing to gain,it s the same with canelo vs benavidez they only got to lose and nothing to gain,17,it s the same with canelo vs benavidez they only get to lose and nothing to gain,1
80,"JOHN ""DUCK"" JONES!!! what a goat!!! WOOOW",john duck jones what a goat wooow,7,john duck jones what a goat wooow,0
81,😂,😂,1,😂,0
82,'it was beautiful'- truly spoken like the sociopath he is.,it was beautiful truly spoken like the sociopath he is,10,it be beautiful truly speak like the sociopath he be,3
83,Can’t wait to see all the comments saying Jon is ducking him when he’s in the fight full mount raining ground and pound and chokes him out. Bunch of casuals who just started watching UFC in this comment section. Even after that dominant performance in Jon’s last fight. It’s goijng to happen again.,can t wait to see all the comments saying jon is ducking him when he s in the fight full mount raining ground and pound and chokes him out bunch of casuals who just started watching ufc in this comment section even after that dominant performance in jon s last fight it s goijng to happen again,57,can t wait to see all the comment say jon be duck he when he s in the fight full mount rain ground and pound and choke he out bunch of casual who just start watch ufc in this comment section even after that dominant performance in jon s last fight it s goijng to happen again,11
84,If these fighters are so good you fight the best no question,if these fighters are so good you fight the best no question,12,if these fighter be so good you fight the good no question,3
85,John bones the dodger,john bones the dodger,4,john bones the dodger,0
86,Forget the alcohol was Matt riddle😂,forget the alcohol was matt riddle😂,6,forget the alcohol be matt riddle 😂,1
87,Sexual Chocolate 🍫,sexual chocolate 🍫,3,sexual chocolate 🍫,0
88,"He should fight tom for the belt , then alex",he should fight tom for the belt then alex,9,he should fight tom for the belt then alex,0
89,John Jones is a fuckin bum that would get smashed in a street fight,john jones is a fuckin bum that would get smashed in a street fight,14,john jones be a fuckin bum that would get smash in a street fight,2
90,"Jon jones goat 
* Drug cheat
* Woman beater
* Professional duck",jon jones goat drug cheat woman beater professional duck,9,jon jones goat drug cheat woman beater professional duck,0
91,Easy fight on cke,easy fight on cke,4,easy fight on cke,0
92,U forgot to look under /inside cage,u forgot to look under inside cage,7,u forget to look under inside cage,1
93,Why not fight them both since  your the  GOAT? .Prove the people  wrong  then john.,why not fight them both since your the goat prove the people wrong then john,15,why not fight they both since your the goat prove the people wrong then john,1
94,I think the fans would much rather see JJ fight TA way before he fights AP…I would say if he beats SM…then fight TA and if you win that fight then fight AP.,i think the fans would much rather see jj fight ta way before he fights ap i would say if he beats sm then fight ta and if you win that fight then fight ap,35,I think the fan would much rather see jj fight ta way before he fight ap I would say if he beat sm then fight ta and if you win that fight then fight ap,5
95,DC goat,dc goat,2,dc goat,0
96,They all affect your legacy,they all affect your legacy,5,they all affect your legacy,0
97,"The most impressive accomplishment from Chael, changing bodies just for the time of a fight with Jon Jones. Clearly a wizard and the goat.",the most impressive accomplishment from chael changing bodies just for the time of a fight with jon jones clearly a wizard and the goat,24,the most impressive accomplishment from chael change body just for the time of a fight with jon jones clearly a wizard and the goat,2
98,"I just want it to be known that this made headlines for his corner not calling it and forcing him to call it. Worse mistake ever, basically throwing your boy under the bus 🚐.",i just want it to be known that this made headlines for his corner not calling it and forcing him to call it worse mistake ever basically throwing your boy under the bus 🚐,34,I just want it to be know that this make headline for his corner not call it and force he to call it bad mistake ever basically throw your boy under the bus 🚐,9
99,Quitters never win 🏆 U need to go watch this full a** whooping he got for him to quit like this,quitters never win 🏆 u need to go watch this full a whooping he got for him to quit like this,21,quitter never win 🏆 u need to go watch this full a whooping he get for he to quit like this,3
100,It’s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds.,it s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds,21,it s a real shame that a guy with a scripture tattooed on his chest constantly choose arrogance and evil deed,2
101,"man I don't get why they wear masks, hard for me to watch with that",man i don t get why they wear masks hard for me to watch with that,16,man I don t get why they wear mask hard for I to watch with that,3
102,Get that revenue,get that revenue,3,get that revenue,0
103,Gua bilang pa si monyet Jones kalo kepepet pasti peler yg di hajar,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,13,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,0
104,"""Did Herb just hit me"" 😂😂",did herb just hit me 😂😂,6,do herb just hit I 😂 😂,2
105,"Jon always run too afraid fight aspinal. Come on Jon, why you never want to fight aspinal? Are you too scared?",jon always run too afraid fight aspinal come on jon why you never want to fight aspinal are you too scared,21,jon always run too afraid fight aspinal come on jon why you never want to fight aspinal be you too scared,1
106,"I think my audio is broken, all i heard was quack quack",i think my audio is broken all i heard was quack quack,12,I think my audio be break all I hear be quack quack,6
107,"put it on the official record, Tom is 1-0 vs Jon, fastest TKO in history",put it on the official record tom is 1 0 vs jon fastest tko in history,16,put it on the official record tom be 1 0 vs jon fast tko in history,2
108,"Jon Jones signed a new 8 fight deal...
He fought 1 time after against Ciryl Gane...
According to your video that would be 1 or at most 2 more UFC fights...
That obviously leaves several fights still tied to UFC...
Unless granted a release your video idea of post UFC fights don't seem to have much possibility...",jon jones signed a new 8 fight deal he fought 1 time after against ciryl gane according to your video that would be 1 or at most 2 more ufc fights that obviously leaves several fights still tied to ufc unless granted a release your video idea of post ufc fights don t seem to have much possibility,58,jon jones sign a new 8 fight deal he fight 1 time after against ciryl gane accord to your video that would be 1 or at most 2 more ufc fight that obviously leave several fight still tie to ufc unless grant a release your video idea of post ufc fight don t seem to have much possibility,9
109,What a coward,what a coward,3,what a coward,0
110,I’m gay 😊,i m gay 😊,4,I m gay 😊,1
111,"I just don't think Tom Can beat Jon, I have nothing against him personally, but Jon is a different animal",i just don t think tom can beat jon i have nothing against him personally but jon is a different animal,21,I just don t think tom can beat jon I have nothing against he personally but jon be a different animal,4
112,That's one of the reasons they hate on you champ,that s one of the reasons they hate on you champ,11,that s one of the reason they hate on you champ,1
113,"Typicall Jon Jones. I pray for his wife and kids. He is for sure not the GOAT of MMA. He is good, but he is also a cheater in MMA and marriage, a riminal, a drug user, a steoroid user, a wife beater and a p*ssy. He was ducking Gustaffson for years as well as Aspinall, not forget his controversial ""wins"" at the end of his LHW run. JJ is no MMA Mount Rushmore material.",typicall jon jones i pray for his wife and kids he is for sure not the goat of mma he is good but he is also a cheater in mma and marriage a riminal a drug user a steoroid user a wife beater and a p ssy he was ducking gustaffson for years as well as aspinall not forget his controversial wins at the end of his lhw run jj is no mma mount rushmore material,76,typicall jon jones I pray for his wife and kid he be for sure not the goat of mma he be good but he be also a cheater in mma and marriage a riminal a drug user a steoroid user a wife beater and a p ssy he be duck gustaffson for year as well as aspinall not forget his controversial win at the end of his lhw run jj be no mma mount rushmore material,10
114,The dragon have my respect everyone tap in that choke but he didn't❤,the dragon have my respect everyone tap in that choke but he didn t❤,14,the dragon have my respect everyone tap in that choke but he didn t ❤,0
115,honest saying,honest saying,2,honest say,1
116,Personally I think jones can suck a giant pickled egg. I want Tom to get his shot at undisputed regardless if bones is there or still in Thai land “living his best life”,personally i think jones can suck a giant pickled egg i want tom to get his shot at undisputed regardless if bones is there or still in thai land living his best life,33,personally I think jones can suck a giant pickle egg I want tom to get his shot at undisputed regardless if bone be there or still in thai land live his good life,7
117,Didn't know stewart from snl did mma,didn t know stewart from snl did mma,8,didn t know stewart from snl do mma,1
118,Well done brother 🙏,well done brother 🙏,4,well do brother 🙏,1
119,LOL guru jon isnt fighting ngannou  hes not fighting anyone hes the wwe heavyweight champion,lol guru jon isnt fighting ngannou hes not fighting anyone hes the wwe heavyweight champion,15,lol guru jon be not fight ngannou he s not fight anyone he s the wwe heavyweight champion,4
120,Told ya no1 likes this Adam fella,told ya no1 likes this adam fella,7,tell ya no1 like this adam fella,2
121,"Epic win, uncle chael",epic win uncle chael,4,epic win uncle chael,0
122,Most people aren't intelligent enough to recognize the work of a genius.,most people aren t intelligent enough to recognize the work of a genius,13,most people aren t intelligent enough to recognize the work of a genius,0
123,black kratos,black kratos,2,black krato,1
124,Its sad that he talks like this he is straightforward saying Aspinal is better,its sad that he talks like this he is straightforward saying aspinal is better,14,its sad that he talk like this he be straightforward say aspinal be well,5
125,This comment section is golden... I love it.,this comment section is golden i love it,8,this comment section be golden I love it,2
126,100% GUARANTEE BY THE WAY LMAO,100 guarantee by the way lmao,6,100 guarantee by the way lmao,0
127,Ngannou against last names in spanish.,ngannou against last names in spanish,6,ngannou against last name in spanish,1
128,"damn the duck quacked so hard at just an english accent, now think of how much he`s ducking tom",damn the duck quacked so hard at just an english accent now think of how much he s ducking tom,20,damn the duck quack so hard at just an english accent now think of how much he s duck tom,2
129,"the first fight, him soccer kickin doot after the stoppage..

his dark heart has never been hidden",the first fight him soccer kickin doot after the stoppage his dark heart has never been hidden,17,the first fight he soccer kickin doot after the stoppage his dark heart have never be hide,4
130,"Jones champion, buuu, buuuuu!. Nervous gay.",jones champion buuu buuuuu nervous gay,6,jones champion buuu buuuuu nervous gay,0
131,No he didn't he will never fight tom,no he didn t he will never fight tom,9,no he didn t he will never fight tom,0
132,Tom will loss his next fight im sure of it hes lost twice all ready,tom will loss his next fight im sure of it hes lost twice all ready,15,tom will loss his next fight I m sure of it he s lose twice all ready,2
133,Thank God Ank beat Alex pereira 😂,thank god ank beat alex pereira 😂,7,thank god ank beat alex pereira 😂,0
134,Jon Jones is an absolute embarrassment to the sport of MMA. Tom is the real undisputed heavyweight champ,jon jones is an absolute embarrassment to the sport of mma tom is the real undisputed heavyweight champ,18,jon jones be an absolute embarrassment to the sport of mma tom be the real undisputed heavyweight champ,2
135,"He avoided retiring in the cage after his win over Stipe so he could waste everyone's time, everyone, and then retire like this. Such a shame but clearly ducking",he avoided retiring in the cage after his win over stipe so he could waste everyone s time everyone and then retire like this such a shame but clearly ducking,30,he avoid retire in the cage after his win over stipe so he could waste everyone s time everyone and then retire like this such a shame but clearly duck,3
136,not a jones fight without a foul,not a jones fight without a foul,7,not a jones fight without a foul,0
137,"No one :
Jon Jones : Destroying ball mode actived",no one jon jones destroying ball mode actived,8,no one jon jones destroy ball mode active,2
138,🤔 Costa's elbow looks like a nipple 💯😂🍕,🤔 costa s elbow looks like a nipple 💯😂🍕,9,🤔 costa s elbow look like a nipple 💯 😂 🍕,1
139,Bruh Frances will whip both of them,bruh frances will whip both of them,7,bruh france will whip both of they,2
140,"Man, just being there is good enough. 🤙",man just being there is good enough 🤙,8,man just be there be good enough 🤙,2
141,Aspinall so THIRSTY to fight the champ how many times must Bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,aspinall so thirsty to fight the champ how many times must bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,27,aspinall so thirsty to fight the champ how many time must bone prove himself you all keep come back to see he loose you all thirsty like tom 😂 😂 😂,6
142,DC?,dc,1,dc,0
143,How is this clown an mma reporter and still cant pronounce alex pereira correctly,how is this clown an mma reporter and still cant pronounce alex pereira correctly,14,how be this clown an mma reporter and still can not pronounce alex pereira correctly,3
144,"And they calling Khabib ""the GOAT"". Hmm, i get the joke, 15:4",and they calling khabib the goat hmm i get the joke 15 4,13,and they call khabib the goat hmm I get the joke 15 4,2
145,Why does an interim champion think he has control over the goat. He hasn’t done anything to try and dictate anything to a fighter of Jon Jones status. If he was talking Gane he might have a point but he’s not on jones level to dictate shit to jones,why does an interim champion think he has control over the goat he hasn t done anything to try and dictate anything to a fighter of jon jones status if he was talking gane he might have a point but he s not on jones level to dictate shit to jones,51,why do an interim champion think he have control over the goat he hasn t do anything to try and dictate anything to a fighter of jon jones status if he be talk gane he might have a point but he s not on jones level to dictate shit to jones,5
146,Francis is a lot more intelligent than what parolee give him credit for.,francis is a lot more intelligent than what parolee give him credit for,13,francis be a lot more intelligent than what parolee give he credit for,2
147,is  Jon Jones still fighting?,is jon jones still fighting,5,be jon jones still fight,2
148,DC is spot on. No hate detected. Just analysis.,dc is spot on no hate detected just analysis,9,dc be spot on no hate detect just analysis,2
149,A body tko is fucking insane! Good job bones,a body tko is fucking insane good job bones,9,a body tko be fuck insane good job bone,3
