id,original,cleaned,tokens_count,lemmas,n_tokens_changed
16,"Tell some idiots who compare ciryl can fight with francis ngannou, Tell them to compare jone jones fight with stipe now... francis finished him in seconds round why stipe was not old as now. Shame to jone jones and his fans.. francis ngannou vs ciryl cane , francis ngannou was even sick! He had an operation on he's knee... francis ngannou will kill jone jones.",tell some idiots who compare ciryl can fight with francis ngannou tell them to compare jone jones fight with stipe now francis finished him in seconds round why stipe was not old as now shame to jone jones and his fans francis ngannou vs ciryl cane francis ngannou was even sick he had an operation on he s knee francis ngannou will kill jone jones,65,tell some idiot who compare ciryl can fight with francis ngannou tell them to compare jone jones fight with stipe now francis finished him in second round why stipe wa not old a now shame to jone jones and his fan francis ngannou v ciryl cane francis ngannou wa even sick he had an operation on he s knee francis ngannou will kill jone jones,7
17,Jon never beat Chael wtf is this fake news,jon never beat chael wtf is this fake news,9,jon never beat chael wtf is this fake news,0
18,This is why people love Paddy,this is why people love paddy,6,this is why people love paddy,0
19,It’s a fight let them knee .Jon jones the best ever,it s a fight let them knee jon jones the best ever,12,it s a fight let them knee jon jones the best ever,0
20,"YOUR DAD AND SISTER HATE YOU
YOUR DAUGHTERS WANT TO CHANGE EXPENSIV E",your dad and sister hate you your daughters want to change expensiv e,13,your dad and sister hate you your daughter want to change expensiv e,1
21,No chance on beating Fury or Wilder.,no chance on beating fury or wilder,7,no chance on beating fury or wilder,0
22,Ok so did he call it,ok so did he call it,6,ok so did he call it,0
23,"Чемпион, Чемпионов!!! Легенда!!!",чемпион чемпионов легенда,3,чемпион чемпионов легенда,0
24,"I hope it’s all hype to make the fight bigger and that he does end up fighting Tom, I’m not sure thou",i hope it s all hype to make the fight bigger and that he does end up fighting tom i m not sure thou,24,i hope it s all hype to make the fight bigger and that he doe end up fighting tom i m not sure thou,1
25,That look on Jon’s face when they robbed him in the Mat Hamil fight was a look we never saw again . Jones loose . Jones ain’t no looser,that look on jon s face when they robbed him in the mat hamil fight was a look we never saw again jones loose jones ain t no looser,29,that look on jon s face when they robbed him in the mat hamil fight wa a look we never saw again jones loose jones ain t no looser,1
26,Real champ 💪🏻,real champ 💪🏻,3,real champ 💪🏻,0
27,The ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer All.yellow 😅,the ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer all yellow 😅,29,the ufc should strip him of the belt or we all should start watching cage warrior and u no that song by cold play they wer all yellow 😅,1
28,And look at him now.. A proper 🦆,and look at him now a proper 🦆,8,and look at him now a proper 🦆,0
29,"Wow.  Uploaded by the UFC??? 
Thank you.",wow uploaded by the ufc thank you,7,wow uploaded by the ufc thank you,0
30,Легенда!,легенда,1,легенда,0
31,If Reyes hadn't lost that fight he would have been a Bonafide star of UFC ...,if reyes hadn t lost that fight he would have been a bonafide star of ufc,16,if reyes hadn t lost that fight he would have been a bonafide star of ufc,0
32,"“He put his hands above mine, time to only use my fingers and poke his eyes out” the dirty bastard would get whooped if they gloved the rest of the fingers",he put his hands above mine time to only use my fingers and poke his eyes out the dirty bastard would get whooped if they gloved the rest of the fingers,31,he put his hand above mine time to only use my finger and poke his eye out the dirty bastard would get whooped if they gloved the rest of the finger,4
33,"Yeah, that's intimidating, but I would've said ""That's kinda gay""",yeah that s intimidating but i would ve said that s kinda gay,13,yeah that s intimidating but i would ve said that s kinda gay,0
34,"Aspinall will not win agains Jones, trust me!",aspinall will not win agains jones trust me,8,aspinall will not win agains jones trust me,0
35,BLESS HIM !!!,bless him,2,bless him,0
36,GOAT 🐐 OF MMA,goat 🐐 of mma,4,goat 🐐 of mma,0
37,"Honestly I totally get his perspective. I don't think he is making that decision based on losing his ""heavy weight"" title. He's already said he would rather vacate the title and move back down to his normal weight class",honestly i totally get his perspective i don t think he is making that decision based on losing his heavy weight title he s already said he would rather vacate the title and move back down to his normal weight class,41,honestly i totally get his perspective i don t think he is making that decision based on losing his heavy weight title he s already said he would rather vacate the title and move back down to his normal weight class,0
38,"Dana: we ll make an exception for you jones, you can juice up without no one knowing. Deal?
Jones: pictogram? Pinch of salt? Owwww yeaah",dana we ll make an exception for you jones you can juice up without no one knowing deal jones pictogram pinch of salt owwww yeaah,25,dana we ll make an exception for you jones you can juice up without no one knowing deal jones pictogram pinch of salt owwww yeaah,0
39,Prochazka is coming...,prochazka is coming,3,prochazka is coming,0
40,#Quackquackquack 🦆,🦆,1,🦆,0
41,Clean??? I thought his whole issue is he can't stay clean??? 😂,clean i thought his whole issue is he can t stay clean 😂,13,clean i thought his whole issue is he can t stay clean 😂,0
42,He has 0 chance against Fury & wilder they will both put him to sleep,he has 0 chance against fury wilder they will both put him to sleep,14,he ha 0 chance against fury wilder they will both put him to sleep,1
43,"This guys motivation sucks. ""You got this. Cmon you got this. Breathe. You got this""

Literally the worst coach/cornerman I've seen in a long time.",this guys motivation sucks you got this cmon you got this breathe you got this literally the worst coach cornerman i ve seen in a long time,27,this guy motivation suck you got this cmon you got this breathe you got this literally the worst coach cornerman i ve seen in a long time,2
44,Легендарный Последний Император!!!,легендарный последний император,3,легендарный последний император,0
45,"All the shit talking about jon, first achieve what jon did. No  only jon and khabib made history with no loss.",all the shit talking about jon first achieve what jon did no only jon and khabib made history with no loss,21,all the shit talking about jon first achieve what jon did no only jon and khabib made history with no loss,0
46,"If that sound was real, thats Crazy. Probably broke his Cheek or Orbital. It probably cost him the fight.",if that sound was real thats crazy probably broke his cheek or orbital it probably cost him the fight,19,if that sound wa real thats crazy probably broke his cheek or orbital it probably cost him the fight,1
47,A blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft. I’ll never pay $80 to see trump and his clown posse shown between every fight 😂,a blind mind can see the promotion slipping into political madness catered to one group of people while real fight fans get the shaft i ll never pay 80 to see trump and his clown posse shown between every fight 😂,41,a blind mind can see the promotion slipping into political madness catered to one group of people while real fight fan get the shaft i ll never pay 80 to see trump and his clown posse shown between every fight 😂,1
48,honestly prizepicks been easy af cash ngl,honestly prizepicks been easy af cash ngl,7,honestly prizepicks been easy af cash ngl,0
49,Why are we translating English to English??,why are we translating english to english,7,why are we translating english to english,0
50,WTactuallyF,wtactuallyf,1,wtactuallyf,0
51,"Lucky the other guy isn’t the same kind of asshole he is, that teabag would have ended up around his ears, he’d of had new earrings that looked like walnuts! LOL 😂",lucky the other guy isn t the same kind of asshole he is that teabag would have ended up around his ears he d of had new earrings that looked like walnuts lol 😂,34,lucky the other guy isn t the same kind of asshole he is that teabag would have ended up around his ear he d of had new earring that looked like walnut lol 😂,3
52,Jon is looking to rematch his wife at the hotel. Last time they went to decision and the cops ruled it a no contest.,jon is looking to rematch his wife at the hotel last time they went to decision and the cops ruled it a no contest,24,jon is looking to rematch his wife at the hotel last time they went to decision and the cop ruled it a no contest,1
53,Ank will beat tom. Watch.,ank will beat tom watch,5,ank will beat tom watch,0
54,Great idea in the first place to bring Nate to Dagestan 🎉😂,great idea in the first place to bring nate to dagestan 🎉😂,12,great idea in the first place to bring nate to dagestan 🎉😂,0
55,😂😂😂 greatest cheat you mean.  Khabib is the greatest,😂😂😂 greatest cheat you mean khabib is the greatest,9,😂😂😂 greatest cheat you mean khabib is the greatest,0
56,Jon was absolutely thinking bad thoughts on that 3rd interruption,jon was absolutely thinking bad thoughts on that 3rd interruption,10,jon wa absolutely thinking bad thought on that 3rd interruption,2
57,Nick very lucky there ngl,nick very lucky there ngl,5,nick very lucky there ngl,0
58,"In Boxing, that’s what you call an E-Mail mickey mouse champion 🥊",in boxing that s what you call an e mail mickey mouse champion 🥊,14,in boxing that s what you call an e mail mickey mouse champion 🥊,0
59,Hey can someone appreciate me,hey can someone appreciate me,5,hey can someone appreciate me,0
60,"Most people do not see what an utter psychopathic scumbag Jon Jones is. The man has zero shame, zero guilt, zero principles, zero morals.",most people do not see what an utter psychopathic scumbag jon jones is the man has zero shame zero guilt zero principles zero morals,24,most people do not see what an utter psychopathic scumbag jon jones is the man ha zero shame zero guilt zero principle zero moral,3
61,"12, million Jones left on the table because he don't want to get knocked out. He will retire for ZERO money...🦆🦆",12 million jones left on the table because he don t want to get knocked out he will retire for zero money 🦆🦆,23,12 million jones left on the table because he don t want to get knocked out he will retire for zero money 🦆🦆,0
62,Another easy win for Chael,another easy win for chael,5,another easy win for chael,0
63,Jon Jones was losing. He viciously knees Andre in the nuts and punches/elbows him several times when the fight is obviously stopped. Jones is just a little kid in a man's body. So scared to lose he'll disrespect the sport and his opponent because he's hungry for a win. Pathetic tiny brain mind.,jon jones was losing he viciously knees andre in the nuts and punches elbows him several times when the fight is obviously stopped jones is just a little kid in a man s body so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win pathetic tiny brain mind,57,jon jones wa losing he viciously knee andre in the nut and punch elbow him several time when the fight is obviously stopped jones is just a little kid in a man s body so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win pathetic tiny brain mind,6
64,Brady didn’t let patty mahomees,brady didn t let patty mahomees,6,brady didn t let patty mahomees,0
65,DC still scarred by his loss to Jon Jones 🤣,dc still scarred by his loss to jon jones 🤣,10,dc still scarred by his loss to jon jones 🤣,0
66,It's hilarious listening to your interview JENNIFER**  DUCKSTER DUCK MASTER **  Jones ‼️‼️‼️‼️‼️ Listen to JENNIFER * THE DUCK  *  everyone  DOES EVERYONE HEAR HIM LOUD AND CLEAR TRYING TO AVOID THE GUY HE DEF KNOWS IS GOING TO SMOKE HIS A$$‼️‼️‼️‼️‼️‼️‼️🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,it s hilarious listening to your interview jennifer duckster duck master jones listen to jennifer the duck everyone does everyone hear him loud and clear trying to avoid the guy he def knows is going to smoke his a 🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,40,it s hilarious listening to your interview jennifer duckster duck master jones listen to jennifer the duck everyone doe everyone hear him loud and clear trying to avoid the guy he def know is going to smoke his a 🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆💯💯💯💯🦆🦆🦆,2
67,Jon's gonna be remembered for all the wrong things,jon s gonna be remembered for all the wrong things,10,jon s gonna be remembered for all the wrong thing,1
68,"What a Bellend,  time for a new Dana",what a bellend time for a new dana,8,what a bellend time for a new dana,0
69,Jon do you think I'm just gonna sit here and let you get interviewed by me??,jon do you think i m just gonna sit here and let you get interviewed by me,17,jon do you think i m just gonna sit here and let you get interviewed by me,0
70,Meanwhile Jon is doing hikes in NM and thinking about other shit.,meanwhile jon is doing hikes in nm and thinking about other shit,12,meanwhile jon is doing hike in nm and thinking about other shit,1
71,Fight him when he was 10 years younger : p,fight him when he was 10 years younger p,9,fight him when he wa 10 year younger p,2
72,More lies from brenda 🤣,more lies from brenda 🤣,5,more lie from brenda 🤣,1
73,"BEHEHEHEHEHEHHEHHEHEHEHEHEHEHEHEHEHEHHEHEHEHEHEHEHEHEHE

..i..",behehehehehehhehhehehehehehehehehehehhehehehehehehehehe i,2,behehehehehehhehhehehehehehehehehehehhehehehehehehehehe i,0
74,That USA chant man great,that usa chant man great,5,that usa chant man great,0
75,Jones will never fight tom,jones will never fight tom,5,jones will never fight tom,0
76,Jon will tear Toms legs apart just saying,jon will tear toms legs apart just saying,8,jon will tear tom leg apart just saying,2
77,Jones got a grey beard 😂,jones got a grey beard 😂,6,jones got a grey beard 😂,0
78,This is your Goat Guys 😂😂,this is your goat guys 😂😂,6,this is your goat guy 😂😂,1
79,It’s the same with canelo vs Benavidez… they only got to lose and nothing to gain,it s the same with canelo vs benavidez they only got to lose and nothing to gain,17,it s the same with canelo v benavidez they only got to lose and nothing to gain,1
80,"JOHN ""DUCK"" JONES!!! what a goat!!! WOOOW",john duck jones what a goat wooow,7,john duck jones what a goat wooow,0
81,😂,😂,1,😂,0
82,'it was beautiful'- truly spoken like the sociopath he is.,it was beautiful truly spoken like the sociopath he is,10,it wa beautiful truly spoken like the sociopath he is,1
83,Can’t wait to see all the comments saying Jon is ducking him when he’s in the fight full mount raining ground and pound and chokes him out. Bunch of casuals who just started watching UFC in this comment section. Even after that dominant performance in Jon’s last fight. It’s goijng to happen again.,can t wait to see all the comments saying jon is ducking him when he s in the fight full mount raining ground and pound and chokes him out bunch of casuals who just started watching ufc in this comment section even after that dominant performance in jon s last fight it s goijng to happen again,57,can t wait to see all the comment saying jon is ducking him when he s in the fight full mount raining ground and pound and choke him out bunch of casuals who just started watching ufc in this comment section even after that dominant performance in jon s last fight it s goijng to happen again,2
84,If these fighters are so good you fight the best no question,if these fighters are so good you fight the best no question,12,if these fighter are so good you fight the best no question,1
85,John bones the dodger,john bones the dodger,4,john bone the dodger,1
86,Forget the alcohol was Matt riddle😂,forget the alcohol was matt riddle😂,6,forget the alcohol wa matt riddle😂,1
87,Sexual Chocolate 🍫,sexual chocolate 🍫,3,sexual chocolate 🍫,0
88,"He should fight tom for the belt , then alex",he should fight tom for the belt then alex,9,he should fight tom for the belt then alex,0
89,John Jones is a fuckin bum that would get smashed in a street fight,john jones is a fuckin bum that would get smashed in a street fight,14,john jones is a fuckin bum that would get smashed in a street fight,0
90,"Jon jones goat 
* Drug cheat
* Woman beater
* Professional duck",jon jones goat drug cheat woman beater professional duck,9,jon jones goat drug cheat woman beater professional duck,0
91,Easy fight on cke,easy fight on cke,4,easy fight on cke,0
92,U forgot to look under /inside cage,u forgot to look under inside cage,7,u forgot to look under inside cage,0
93,Why not fight them both since  your the  GOAT? .Prove the people  wrong  then john.,why not fight them both since your the goat prove the people wrong then john,15,why not fight them both since your the goat prove the people wrong then john,0
94,I think the fans would much rather see JJ fight TA way before he fights AP…I would say if he beats SM…then fight TA and if you win that fight then fight AP.,i think the fans would much rather see jj fight ta way before he fights ap i would say if he beats sm then fight ta and if you win that fight then fight ap,35,i think the fan would much rather see jj fight ta way before he fight ap i would say if he beat sm then fight ta and if you win that fight then fight ap,3
95,DC goat,dc goat,2,dc goat,0
96,They all affect your legacy,they all affect your legacy,5,they all affect your legacy,0
97,"The most impressive accomplishment from Chael, changing bodies just for the time of a fight with Jon Jones. Clearly a wizard and the goat.",the most impressive accomplishment from chael changing bodies just for the time of a fight with jon jones clearly a wizard and the goat,24,the most impressive accomplishment from chael changing body just for the time of a fight with jon jones clearly a wizard and the goat,1
98,"I just want it to be known that this made headlines for his corner not calling it and forcing him to call it. Worse mistake ever, basically throwing your boy under the bus 🚐.",i just want it to be known that this made headlines for his corner not calling it and forcing him to call it worse mistake ever basically throwing your boy under the bus 🚐,34,i just want it to be known that this made headline for his corner not calling it and forcing him to call it worse mistake ever basically throwing your boy under the bus 🚐,1
99,Quitters never win 🏆 U need to go watch this full a** whooping he got for him to quit like this,quitters never win 🏆 u need to go watch this full a whooping he got for him to quit like this,21,quitter never win 🏆 u need to go watch this full a whooping he got for him to quit like this,1
100,It’s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds.,it s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deeds,21,it s a real shame that a guy with a scripture tattooed on his chest constantly chooses arrogance and evil deed,1
101,"man I don't get why they wear masks, hard for me to watch with that",man i don t get why they wear masks hard for me to watch with that,16,man i don t get why they wear mask hard for me to watch with that,1
102,Get that revenue,get that revenue,3,get that revenue,0
103,Gua bilang pa si monyet Jones kalo kepepet pasti peler yg di hajar,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,13,gua bilang pa si monyet jones kalo kepepet pasti peler yg di hajar,0
104,"""Did Herb just hit me"" 😂😂",did herb just hit me 😂😂,6,did herb just hit me 😂😂,0
105,"Jon always run too afraid fight aspinal. Come on Jon, why you never want to fight aspinal? Are you too scared?",jon always run too afraid fight aspinal come on jon why you never want to fight aspinal are you too scared,21,jon always run too afraid fight aspinal come on jon why you never want to fight aspinal are you too scared,0
106,"I think my audio is broken, all i heard was quack quack",i think my audio is broken all i heard was quack quack,12,i think my audio is broken all i heard wa quack quack,1
107,"put it on the official record, Tom is 1-0 vs Jon, fastest TKO in history",put it on the official record tom is 1 0 vs jon fastest tko in history,16,put it on the official record tom is 1 0 v jon fastest tko in history,1
108,"Jon Jones signed a new 8 fight deal...
He fought 1 time after against Ciryl Gane...
According to your video that would be 1 or at most 2 more UFC fights...
That obviously leaves several fights still tied to UFC...
Unless granted a release your video idea of post UFC fights don't seem to have much possibility...",jon jones signed a new 8 fight deal he fought 1 time after against ciryl gane according to your video that would be 1 or at most 2 more ufc fights that obviously leaves several fights still tied to ufc unless granted a release your video idea of post ufc fights don t seem to have much possibility,58,jon jones signed a new 8 fight deal he fought 1 time after against ciryl gane according to your video that would be 1 or at most 2 more ufc fight that obviously leaf several fight still tied to ufc unless granted a release your video idea of post ufc fight don t seem to have much possibility,4
109,What a coward,what a coward,3,what a coward,0
110,I’m gay 😊,i m gay 😊,4,i m gay 😊,0
111,"I just don't think Tom Can beat Jon, I have nothing against him personally, but Jon is a different animal",i just don t think tom can beat jon i have nothing against him personally but jon is a different animal,21,i just don t think tom can beat jon i have nothing against him personally but jon is a different animal,0
112,That's one of the reasons they hate on you champ,that s one of the reasons they hate on you champ,11,that s one of the reason they hate on you champ,1
113,"Typicall Jon Jones. I pray for his wife and kids. He is for sure not the GOAT of MMA. He is good, but he is also a cheater in MMA and marriage, a riminal, a drug user, a steoroid user, a wife beater and a p*ssy. He was ducking Gustaffson for years as well as Aspinall, not forget his controversial ""wins"" at the end of his LHW run. JJ is no MMA Mount Rushmore material.",typicall jon jones i pray for his wife and kids he is for sure not the goat of mma he is good but he is also a cheater in mma and marriage a riminal a drug user a steoroid user a wife beater and a p ssy he was ducking gustaffson for years as well as aspinall not forget his controversial wins at the end of his lhw run jj is no mma mount rushmore material,76,typicall jon jones i pray for his wife and kid he is for sure not the goat of mma he is good but he is also a cheater in mma and marriage a riminal a drug user a steoroid user a wife beater and a p ssy he wa ducking gustaffson for year a well a aspinall not forget his controversial win at the end of his lhw run jj is no mma mount rushmore material,6
114,The dragon have my respect everyone tap in that choke but he didn't❤,the dragon have my respect everyone tap in that choke but he didn t❤,14,the dragon have my respect everyone tap in that choke but he didn t❤,0
115,honest saying,honest saying,2,honest saying,0
116,Personally I think jones can suck a giant pickled egg. I want Tom to get his shot at undisputed regardless if bones is there or still in Thai land “living his best life”,personally i think jones can suck a giant pickled egg i want tom to get his shot at undisputed regardless if bones is there or still in thai land living his best life,33,personally i think jones can suck a giant pickled egg i want tom to get his shot at undisputed regardless if bone is there or still in thai land living his best life,1
117,Didn't know stewart from snl did mma,didn t know stewart from snl did mma,8,didn t know stewart from snl did mma,0
118,Well done brother 🙏,well done brother 🙏,4,well done brother 🙏,0
119,LOL guru jon isnt fighting ngannou  hes not fighting anyone hes the wwe heavyweight champion,lol guru jon isnt fighting ngannou hes not fighting anyone hes the wwe heavyweight champion,15,lol guru jon isnt fighting ngannou he not fighting anyone he the wwe heavyweight champion,2
120,Told ya no1 likes this Adam fella,told ya no1 likes this adam fella,7,told ya no1 like this adam fella,1
121,"Epic win, uncle chael",epic win uncle chael,4,epic win uncle chael,0
122,Most people aren't intelligent enough to recognize the work of a genius.,most people aren t intelligent enough to recognize the work of a genius,13,most people aren t intelligent enough to recognize the work of a genius,0
123,black kratos,black kratos,2,black kratos,0
124,Its sad that he talks like this he is straightforward saying Aspinal is better,its sad that he talks like this he is straightforward saying aspinal is better,14,it sad that he talk like this he is straightforward saying aspinal is better,2
125,This comment section is golden... I love it.,this comment section is golden i love it,8,this comment section is golden i love it,0
126,100% GUARANTEE BY THE WAY LMAO,100 guarantee by the way lmao,6,100 guarantee by the way lmao,0
127,Ngannou against last names in spanish.,ngannou against last names in spanish,6,ngannou against last name in spanish,1
128,"damn the duck quacked so hard at just an english accent, now think of how much he`s ducking tom",damn the duck quacked so hard at just an english accent now think of how much he s ducking tom,20,damn the duck quacked so hard at just an english accent now think of how much he s ducking tom,0
129,"the first fight, him soccer kickin doot after the stoppage..

his dark heart has never been hidden",the first fight him soccer kickin doot after the stoppage his dark heart has never been hidden,17,the first fight him soccer kickin doot after the stoppage his dark heart ha never been hidden,1
130,"Jones champion, buuu, buuuuu!. Nervous gay.",jones champion buuu buuuuu nervous gay,6,jones champion buuu buuuuu nervous gay,0
131,No he didn't he will never fight tom,no he didn t he will never fight tom,9,no he didn t he will never fight tom,0
132,Tom will loss his next fight im sure of it hes lost twice all ready,tom will loss his next fight im sure of it hes lost twice all ready,15,tom will loss his next fight im sure of it he lost twice all ready,1
133,Thank God Ank beat Alex pereira 😂,thank god ank beat alex pereira 😂,7,thank god ank beat alex pereira 😂,0
134,Jon Jones is an absolute embarrassment to the sport of MMA. Tom is the real undisputed heavyweight champ,jon jones is an absolute embarrassment to the sport of mma tom is the real undisputed heavyweight champ,18,jon jones is an absolute embarrassment to the sport of mma tom is the real undisputed heavyweight champ,0
135,"He avoided retiring in the cage after his win over Stipe so he could waste everyone's time, everyone, and then retire like this. Such a shame but clearly ducking",he avoided retiring in the cage after his win over stipe so he could waste everyone s time everyone and then retire like this such a shame but clearly ducking,30,he avoided retiring in the cage after his win over stipe so he could waste everyone s time everyone and then retire like this such a shame but clearly ducking,0
136,not a jones fight without a foul,not a jones fight without a foul,7,not a jones fight without a foul,0
137,"No one :
Jon Jones : Destroying ball mode actived",no one jon jones destroying ball mode actived,8,no one jon jones destroying ball mode actived,0
138,🤔 Costa's elbow looks like a nipple 💯😂🍕,🤔 costa s elbow looks like a nipple 💯😂🍕,9,🤔 costa s elbow look like a nipple 💯😂🍕,1
139,Bruh Frances will whip both of them,bruh frances will whip both of them,7,bruh france will whip both of them,1
140,"Man, just being there is good enough. 🤙",man just being there is good enough 🤙,8,man just being there is good enough 🤙,0
141,Aspinall so THIRSTY to fight the champ how many times must Bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,aspinall so thirsty to fight the champ how many times must bones prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,27,aspinall so thirsty to fight the champ how many time must bone prove himself yall keep coming back to see him loose yall thirsty like tom 😂😂😂,2
142,DC?,dc,1,dc,0
143,How is this clown an mma reporter and still cant pronounce alex pereira correctly,how is this clown an mma reporter and still cant pronounce alex pereira correctly,14,how is this clown an mma reporter and still cant pronounce alex pereira correctly,0
144,"And they calling Khabib ""the GOAT"". Hmm, i get the joke, 15:4",and they calling khabib the goat hmm i get the joke 15 4,13,and they calling khabib the goat hmm i get the joke 15 4,0
145,Why does an interim champion think he has control over the goat. He hasn’t done anything to try and dictate anything to a fighter of Jon Jones status. If he was talking Gane he might have a point but he’s not on jones level to dictate shit to jones,why does an interim champion think he has control over the goat he hasn t done anything to try and dictate anything to a fighter of jon jones status if he was talking gane he might have a point but he s not on jones level to dictate shit to jones,51,why doe an interim champion think he ha control over the goat he hasn t done anything to try and dictate anything to a fighter of jon jones status if he wa talking gane he might have a point but he s not on jones level to dictate shit to jones,3
146,Francis is a lot more intelligent than what parolee give him credit for.,francis is a lot more intelligent than what parolee give him credit for,13,francis is a lot more intelligent than what parolee give him credit for,0
147,is  Jon Jones still fighting?,is jon jones still fighting,5,is jon jones still fighting,0
148,DC is spot on. No hate detected. Just analysis.,dc is spot on no hate detected just analysis,9,dc is spot on no hate detected just analysis,0
149,A body tko is fucking insane! Good job bones,a body tko is fucking insane good job bones,9,a body tko is fucking insane good job bone,1
